cellid	station	depth_m	station_type	filter	Annelida;Clitellata	Annelida;Polychaeta	Apicomplexa;Aconoidasida	Apicomplexa;Conoidasida	Arthropoda;Arachnida	Arthropoda;Ellipura	Arthropoda;Insecta	Arthropoda;Malacostraca	Arthropoda;Maxillopoda	Ascomycota;Dothideomycetes	Ascomycota;Eurotiomycetes	Ascomycota;Incertae_Sedis	Ascomycota;Lecanoromycetes	Ascomycota;Leotiomycetes	Ascomycota;Saccharomycetes	Ascomycota;Sordariomycetes	Ascomycota;Taphrinomycetes	Bangiales;Bangiales_cl	Basidiomycota;Agaricomycetes	Basidiomycota;Dacrymycetes	Basidiomycota;Malasseziomycetes	Basidiomycota;Microbotryomycetes	Basidiomycota;Pucciniomycetes	Basidiomycota;Tremellomycetes	Brachiopoda;Phoroniformea_cl	Cercozoa;Thecofilosea	Chlorophyta_ph;Chlorodendrophyceae	Chlorophyta_ph;Chlorophyceae	Chlorophyta_ph;Mamiellophyceae	Chlorophyta_ph;Nephroselmidophyceae	Chlorophyta_ph;Prasinophytae	Chlorophyta_ph;Trebouxiophyceae	Chlorophyta_ph;Ulvophyceae	Choanoflagellida;Craspedida	Chytridiomycota;Incertae_Sedis	Ciliophora;Intramacronucleata	Ciliophora;Postciliodesmatophora	Cnidaria;Anthozoa	Cnidaria;Hydrozoa	Cnidaria;Scyphozoa	Cryptomonadales;Cryptomonadales_cl	Cryptomycota;LKM11_cl	Cryptophyceae_ph;Cryptophyceae_cl	Ctenophora;Tentaculata	Dinoflagellata;Dinophyceae	Dinoflagellata;Incertae_Sedis	Dinoflagellata;Noctilucales	Discosea;Longamoebia	Echinodermata;Asteroidea	Echinodermata;Crinoidea	Echinodermata;Echinoidea	Echinodermata;Holothuroidea	Echinodermata;Ophiuroidea	Entoprocta;Solitaria	Euglenozoa;Euglenida	Euglenozoa;Kinetoplastea	Florideophycidae;Corallinophycidae	Florideophycidae;Rhodymeniophycidae	Gastrotricha;Gastrotricha_cl	Hemichordata;Enteropneusta	Hyphochytriomycetes;Hyphochytriomycetes_cl	Ichthyosporea;Dermocystida	Ichthyosporea;Ichthyophonae	Incertae_Sedis;Incertae_Sedis_cl	Kinorhyncha;Kinorhyncha_cl	Labyrinthulomycetes;Labyrinthulomycetes_cl	LKM15;LKM15_cl	MAST-3;MAST-3C	MAST-3;MAST-3E	MAST-3;MAST-3F	MAST-3;MAST-3I	MAST-3;MAST-3K	MAST-4;MAST-4D	MAST-6;MAST-6_cl	Mollusca;Bivalvia	Mollusca;Gastropoda	Mucoromycota;Glomeromycetes	Mucoromycota;Incertae_Sedis	Nematoda;Chromadorea	Nematoda;Enoplea	Nemertea;Anopla	Nemertea;Enopla	Neocallimastigomycota;Neocallimastigomycetes	Nucleariidae_and_Fonticula_group;Nucleariidae_and_Fonticula_group_cl	Ochrophyta;Chrysophyceae	Ochrophyta;Diatomea	Ochrophyta;Dictyochophyceae	Ochrophyta;Eustigmatophyceae	Ochrophyta;Ochrophyta_cl	Ochrophyta;Pelagophyceae	Ochrophyta;Phaeophyceae	Ochrophyta;Pinguiophyceae	Ochrophyta;Raphidophyceae	Opalinata;Opalinata_cl	Opisthokonta_ph;Aphelidea	Pavlovophyceae;Pavlovophyceae_cl	Peronosporomycetes;Peronosporomycetes_cl	Phragmoplastophyta;Embryophyta	Phragmoplastophyta;Zygnematophyceae_cl	Placozoa;Placozoa_cl	Platyhelminthes;Rhabditophora	Porifera;Demospongiae	Priapulida;Priapulida_cl	Protalveolata;Perkinsidae	Protalveolata;Syndiniales	Prymnesiophyceae;Coccolithales	Prymnesiophyceae;Isochrysidales	Prymnesiophyceae;Prymnesiales	Prymnesiophyceae;Prymnesiophyceae_cl	Prymnesiophyceae;uncultured	Rotifera;Monogononta	Tunicata;Ascidiacea	Tunicata;Thaliacea	uncultured;uncultured_cl	Vertebrata;Actinopterygii	Vertebrata;Chondrichthyes	Vertebrata;Mammalia	Zoopagomycota;Basidiobolomycetes
BOX_4_20	BBL1	13.295	S	0.2	0	0.690846286701209	0	0	0	0	0	0	1.82580804342462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690846286701209	0	0	1.87515420676042	0	0	0	0	0	3.08413520848754	3.67628916851715	0	0	0	0	6.88378978534419	0	0	1.99851961509993	60.7698001480385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89982728842832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7226745620528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.89686651862818	0	0	2.98544288181594	0	0	0	0	0	0	0	0	0	0
BOX_4_21	BBL1	13.295	S	0.2	0	0	0	0	0	0	0	0	60.8131487889273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346020761245675	0	0	0	0	0	9.16955017301038	0	0	0	0	0	0	0	0	1.94636678200692	0	0	0	3.76297577854671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77335640138408	0	0	0	0	0	0	0	0	0	0	0	8.95328719723183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0
BOX_4_22	BBL1	13.295	S	0.2	0	0	0	0	0	0	0	0	7.30441230997404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2728958101594	0	0	0	0.741564701520208	0	0	0	0	3.41119762699295	0	0	0	44.9017426770486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96514645902855	0	0	0	0	0	0	0	0	0	0	0	12.1987393400074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2043010752688	0	0	0	0	0	0	0	0	0	0	0	0	0
AMBON_1_59	BBL12	6.018	S	0.2	0	0	0	0	0	0	0	0	0.142258161126086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0.441749026654687	0	0	0	0.920934411500449	15.5435759209344	0	0.247079964061096	0.232105420784666	0	0.217130877508236	0.232105420784666	0	0	7.56214435459718	0	0	0.149745432764301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112309074573226	0	0	0	0.0524109014675052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329439952081462	70.6798442647499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449236298292902	0	0	0.411799940101827	0	0	0.284516322252171	0	0	0.801138065289009	0	0	0	0
AMBON_1_61	BBL12	20.947	S	0.2	0	0	0	0	0	0	0	0	0.435767822903957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366044971239324	0	0.435767822903957	0	0	0	0.174307129161583	14.7812445529022	0	0.348614258323165	0.10458427749695	0	0	2.82377549241764	0	0	1.84765556911278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522921387484748	0	0	0	0	0	0	0	0	0	0	0	76.7997211085933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854104932891755	0	0	0.784382081227122	0	0	0.191737842077741	0	0	0	0	0	0	0
AMBON_1_57	BBL12	30.232	S	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18170443486723	3.5451133046017	0	0	0	0	0	0.750729876268595	0	0	1.39024051160851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00778534686501	82.844432086751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27999443903795	0	0	0	0	0	0	0	0	0	0
AMBON_1_58	BBL12	43.713	S	0.2	0	0.390152024754473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0672675904749092	0	0	0	0	0	0	0	0	0	0	1.22427014664335	0	0	0	0	0	2.12565585900713	9.72689358267187	0	0	0	0.2959773980896	0.766850531413965	1.41261939997309	0	0	6.98237589129557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05838826853222	71.2901923853088	0.0672675904749092	0	0.443966097134401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43952643616306	0	0	1.11664200188349	0	0.591954796179201	0	0	0	0	0	0	0	0
AMBON_1_43	BBL2	4.912	P	0.2	0	0	0	0	0	0	0	0	0.107571369466281	0	0	0	0	0	0	0	0	0	0.339263549855192	0	0	0	0	0	0	0.413736036408771	0	0	14.4642118328506	0	1.75424079437319	5.56888705006206	0	0	4.22010757136947	12.0893669838643	0	0	0	0	5.17997517583782	1.94455937112123	0.115846090194456	0.405461315680596	17.2031443938767	0	0	0	0	0	2.40794373189905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01779064956558	0.405461315680596	0	0	0.620604054613157	0.68680182043856	0	0	0	0	0	0	0	0	0	0	2.28382292097642	3.53330575093091	0.844021514273893	0.446834919321473	0.761274306992139	1.15846090194456	0	0	0	0	0.256516342573438	0.0744724865535788	0.0248241621845263	0	0	0	0	0	0.28961522548614	0	18.5353744311129	0	0	1.99420769549028	0.248241621845263	0.132395531650807	0	0	0	0.471659081505999	0	0	0	0
BOX_6_98	BBL2	4.912	P	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98351648351648	0	7.55494505494505	0	0	0	9.06593406593407	3.2967032967033	0	0	2.1978021978022	0	3.84615384615385	4.25824175824176	0	0	20.467032967033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4835164835165	0	0	0	0.961538461538461	0	0	0	0	0	1.0989010989011	0	0	0	0	0	0	0	0	5.49450549450549	0	0	17.8571428571429	3.43406593406593	0	0	0	0	0	0	0	0	0
BOX_6_99	BBL2	4.912	P	20	0	33.1550802139037	0	0	0	0	0	0	15.9663865546218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10084033613445	0	0	1.4514896867838	0	0	0	0	0	2.5974025974026	0	0	0	0	0	8.89992360580596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611153552330023	33.6898395721925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52788388082506	0	0	0	0	0	0	0	0	0	0
