"cluster","primary_WM","secondary_WM","bloom_index","bloom_stage","Alpha_pct","Gamma_pct","Bacteroidia_pct","characteristic_ASV","dbRDA_significant"
"A1","wSW (78)","AnW (22)",0.38,"pre",34,55,6,"Nitrincolaceae; uncultured","temp, salinity, DO, NO3, FlECO (all)"
"A2","cSW (47)","wCW (33)",0.59,"post",25,68,3,"SAR86 clade","temp, salinity, DO, NO3, FlECO (all)"
"B1","wSW (53)","AnW (47)",0.23,"pre",19,38,36,"Thioglobaceae; SUP05_cluster","temp, salinity, DO, NO3, FlECO (all)"
"B2a","cSW (35)","wSW (29)",0.59,"post",20,47,31,"SAR86 clade","temp, salinity, DO, NO3, FlECO (all)"
"B2b","cSW (54)","wSW (35)",0.49,"mid",15,43,37,"Nitrincolaceae; uncultured","temp, salinity, DO, NO3, FlECO (all)"
"C1a","wSW (79)","AnW (21)",0.16,"pre",16,36,40,"Flavobacteriaceae; uncultured","temp, salinity, DO, NO3, FlECO (all)"
"C1b1","wSW (100)","-",0.38,"pre",25,29,40,"Flavobacteriaceae; Ulvibacter","temp, salinity, DO, NO3, FlECO (all)"
"C1b2","wSW (63)","AnW (26)",0.16,"pre",21,35,36,"Thioglobaceae; SUP05_cluster","temp, salinity, DO, NO3, FlECO (all)"
"C2a","wCW (67)","cSW (17)",0.67,"post",33,36,25,"Clade_Ia (SAR11)","temp, salinity, DO, NO3, FlECO (all)"
"C2b1","wSW/cSW (42/42)","-",0.58,"post",15,43,38,"Flavobacteriaceae; NS5_marine_group","temp, salinity, DO, NO3, FlECO (all)"
"C2b2","cSW (59)","wSW (28)",0.49,"mid",17,42,37,"Nitrincolaceae; uncultured","temp, salinity, DO, NO3, FlECO (all)"
