"cluster","rank","ASV","mean_RA"
"A1",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.248314649748244
"A1",2,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.1502836379658
"A1",3,"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26",0.11273677441799
"A1",4,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.0492200346874752
"A1",5,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58",0.0478139214099805
"A1",6,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96",0.0337614089792235
"A1",7,"Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14",0.031511281482679
"A1",8,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_76",0.0286437164194066
"A1",9,"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_102",0.0268912660042127
"A1",10,"OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72",0.023173180563822
"A2",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.202654180570714
"A2",2,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.136271777829436
"A2",3,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8",0.0952220108213369
"A2",4,"OM182_clade (99); OM182_clade_fa (99); OM182_clade_ge (99); ESV_72",0.0523709301185443
"A2",5,"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_96",0.0478116997920997
"A2",6,"Pseudomonadales (87); Moraxellaceae (87); Psychrobacter (83); ESV_364",0.038289116398961
"A2",7,"Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14",0.0363263639414635
"A2",8,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37",0.0357314613200636
"A2",9,"Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147",0.0291895100395958
"A2",10,"Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217",0.0286337675687699
"B1",1,"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4",0.158343452810037
"B1",2,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1",0.0706931362906808
"B1",3,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9",0.0688623900747901
