"cluster","ASV","short_name","mean_in","mean_out","ratio","padj"
"A1","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.007706,0.001767,4.4,0.00617
"A1","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_58","SAR92_clade (100); ESV_58",0.047814,0.013333,3.6,0.000197
"A1","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.112737,0.040211,2.8,0.011
"A1","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (88); ESV_14","Amylibacter (88); ESV_14",0.031511,0.015012,2.1,0.00758
"A2","Frankiales (68); Sporichthyaceae (64); hgcI_clade (43); ESV_3032","hgcI_clade (43); ESV_3032",0.000271,0,272.1,1.36e-07
"A2","Cellvibrionales (65); Spongiibacteraceae (53); BD1-7_clade (30); ESV_5213","BD1-7_clade (30); ESV_5213",0.002748,3.5e-05,75.5,0.00129
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_757","SAR86_clade_ge (100); ESV_757",0.007576,0.000126,59.7,0.000154
"A2","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","SAR86_clade_ge (100); ESV_3710",0.00961,0.000206,46.4,0.000239
"A2","Parvibaculales (79); Parvibaculaceae (78); uncultured (78); ESV_1091","uncultured (78); ESV_1091",0.003436,7.7e-05,44.1,0.00768
"A2","uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804","uncultured_ge (53); ESV_804",0.004661,0.000107,43.3,3.94e-08
"A2","Oceanospirillales (76); Pseudohongiellaceae (62); Pseudohongiella (62); ESV_9297","Pseudohongiella (62); ESV_9297",0.001375,3.8e-05,35.4,0.00139
"A2","Rhodobacterales (100); Rhodobacteraceae (100); Octadecabacter (100); ESV_1423","Octadecabacter (100); ESV_1423",0.000811,3.7e-05,21.3,0.00925
"A2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (98); ESV_2023","uncultured (98); ESV_2023",0.000682,3.4e-05,19.7,0.00139
"A2","Puniceispirillales (91); uncultured (90); uncultured_ge (90); ESV_2225","uncultured_ge (90); ESV_2225",0.000296,1.5e-05,18.6,0.0098
"B1","Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969","Chitinivibrio (18); ESV_9969",0.000509,4e-06,108.6,6.26e-07
