"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ASV","indicator_cluster"
1,1,1,1,1,1,1,1,0,1,1014,0.971188730219014,0.001,"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","1+2+3+4+5+6+7+8+10"
1,0,0,0,0,1,1,1,1,1,763,0.942927130615888,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6","1+6+7+8+9+10"
0,0,1,1,1,1,1,1,1,1,1012,0.987178956924037,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","3+4+5+6+7+8+9+10"
0,1,0,1,0,1,0,1,1,1,812,0.919640659736246,0.001,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","2+4+6+8+9+10"
0,0,1,1,1,1,1,1,0,1,961,0.991367822435033,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","3+4+5+6+7+8+10"
1,0,1,1,0,1,1,1,0,1,915,0.895939204957365,0.001,"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","1+3+4+6+7+8+10"
0,0,0,0,0,1,0,1,1,1,384,0.912734039349189,0.001,"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","6+8+9+10"
0,0,0,0,0,1,1,1,0,1,382,0.812455933053309,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29","6+7+8+10"
0,0,0,1,0,1,1,1,1,1,846,0.92389336463456,0.001,"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","4+6+7+8+9+10"
0,0,1,1,1,1,1,1,1,1,1012,0.987178956924037,0.001,"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_32","3+4+5+6+7+8+9+10"
0,0,1,1,1,1,1,0,0,1,822,0.917667778063667,0.001,"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34","3+4+5+6+7+10"
