"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ESV","indicator_cluster","Phylum","Class","Order","Family","Genus"
1,0,1,1,1,1,1,0,1,1,998,0.952919410673646,0.001,"ESV_2","1+3+4+5+6+7+9+10","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Chaetoceros"
1,1,0,1,1,0,0,0,1,1,682,0.701368094188859,0.001,"ESV_66","1+2+4+5+9+10","Cryptomonadales","Cryptomonadales_cl","Cryptomonadales_or","Cryptomonadales_fa","Falcomonas"
1,1,1,1,0,0,1,1,1,0,864,0.798067915872037,0.001,"ESV_67","1+2+3+4+7+8+9","MAST-3","MAST-3F","MAST-3F_or","MAST-3F_fa","MAST-3F_ge"
0,0,0,0,0,1,0,0,0,0,6,0.898192228137236,0.001,"ESV_85","6","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Thalassiosira"
1,1,1,1,1,1,0,1,1,1,1016,0.834178552031686,0.001,"ESV_89","1+2+3+4+5+6+8+9+10","Chytridiomycota","Incertae_Sedis","Polychytriales","Incertae_Sedis","Polychytrium"
1,0,1,0,1,0,1,1,1,1,923,0.710589813748774,0.001,"ESV_97","1+3+5+7+8+9+10","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Arcocellulus"
1,0,1,1,1,1,0,0,1,1,909,0.746294161196696,0.001,"ESV_100","1+3+4+5+6+9+10","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Lepidodinium"
1,0,1,0,1,0,1,0,1,1,736,0.78371546295399,0.001,"ESV_120","1+3+5+7+9+10","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Chaetoceros"
1,0,0,0,0,0,1,0,0,0,16,0.716401066768541,0.001,"ESV_152","1+7","Ochrophyta","Diatomea","Bacillariophytina","Mediophyceae","Thalassiosira"
0,1,0,0,0,0,0,1,0,0,25,0.599192309514444,0.001,"ESV_188","2+8","Chlorophyta_ph","Mamiellophyceae","Mamiellales","Mamiellales_fa","Micromonas"
