"sample_cluster","col_cluster","ASV","short_name","mean_in","mean_out"
"A1","CC1","JGI_0000069-P22 (11); JGI_0000069-P22_fa (11); JGI_0000069-P22_ge (11); ESV_1988","JGI_0000069-P22_ge (11); ESV_1988",0.013362,0.00131
"A1","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (96); ESV_1031","Halioglobus (96); ESV_1031",0.00816,0.001188
"A1","CC1","Arenicellales (100); Arenicellaceae (100); Arenicella (100); ESV_2959","Arenicella (100); ESV_2959",0.001017,0.000288
"A1","CC1","KI89A_clade (100); KI89A_clade_fa (100); KI89A_clade_ge (100); ESV_857","KI89A_clade_ge (100); ESV_857",0.000877,0.000148
"A1","CC1","Alteromonadales (100); Marinobacteraceae (100); Marinobacter (100); ESV_276","Marinobacter (100); ESV_276",0.000741,0.000284
"A1","CC2","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_457","SAR116_clade_ge (100); ESV_457",0.00885,0.002116
"A1","CC2","Parvibaculales (100); OCS116_clade (100); OCS116_clade_ge (100); ESV_376","OCS116_clade_ge (100); ESV_376",0.007706,0.001767
"A1","CC2","Alteromonadales (100); Alteromonadaceae (100); Alteromonas (100); ESV_50","Alteromonas (100); ESV_50",0.006649,0.003861
"A1","CC2","Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764","uncultured (5); ESV_2764",0.000752,0.000961
"A1","CC2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","uncultured (94); ESV_792",0.000508,0.000418
"A1","CC4","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6","Formosa (83); ESV_6",0.04922,0.018665
"A1","CC4","Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","Marinoscillum (100); ESV_217",0.002786,0.008733
"A1","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.002304,0.022903
"A1","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.002238,0.011952
"A1","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.001892,0.002323
"A1","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261","SAR92_clade (100); ESV_261",0.016133,0.004274
"A1","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.010274,0.003609
"A1","CC5","Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147","Pseudohongiella (100); ESV_147",0.006573,0.004124
"A1","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.005133,0.004754
"A1","CC5","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_94","SAR116_clade_ge (100); ESV_94",0.004387,0.005736
