"sample_id","station","depth_type","depth_m","cluster","NO3(uM)"
"BOX_8_60","DBO2.2","bottom",41.6,"1",16.7
"BOX_8_59","DBO2.2","surf",3.36,"1",16.2
"BOX_8_57","CBW3","bottom",44.74,"1",15.7
"BOX_8_44","CNL5","surf",4.24,"1",10.9
"BOX_9_31","CB1","surf",3.89,"1",4.2
"BOX_5_50","CBE2","mid",11.4,"1",3.8
"BOX_9_44","SLY2","mid",9.86,"1",2.9
"BOX_8_83","DBO3.8","surf",3.23,"1",0.2
"BOX_8_61","DBO2.36","surf",3.57,"1",0.1
"BOX_8_54","CNL2","mid",25.6,"2",13.6
"BOX_9_43","SLY2","bottom",18.37,"2",3.1
"BOX_9_42","SLY5","surf",2.93,"2",0.6
"BOX_6_69","SLY4","mid",9.7,"2",0.1
"BOX_6_70","SLY4","bottom",31.44,"2",0.1
"BOX_9_34","SLY9.5","bottom",10.3,"2",0.1
"BOX_9_36","SLY9","mid",11.18,"2",0.1
"BOX_9_40","SLY5","bottom",22.12,"2",0.1
"BOX_9_41","SLY5","mid",12.28,"2",0.1
"BOX_5_48","SLY4","surf",3.05,"2",0
"BOX_9_10","SLY8","bottom",20.97,"2",0
"BOX_9_35","SLY9.5","surf",3.22,"2",0
"BOX_9_37","SLY9","surf",3.26,"2",0
"BOX_9_38","SLY8","surf",2.87,"2",0
"BOX_9_39","SLY6","mid",10.23,"2",0
"BOX_9_30","CB1","bottom",45.81,"3",17
"BOX_8_56","CBW5","bottom",41.79,"3",14.7
"BOX_8_46","CNL5","bottom",43.76,"3",13.4
"BOX_5_31","CNL7","surf",3.12,"3",11.1
"BOX_5_33","CNL7","mid",10.17,"3",11.1
"BOX_8_45","CNL5","mid",11.25,"3",10.9
"BOX_8_55","CBW5","surf",3.72,"3",10.1
"BOX_8_84","DBO3.8","mid",9.7,"3",8
"BOX_8_78","CNL10","bottom",53.88,"3",7.4
"BOX_9_2","DBO3.5","surf",3.35,"3",7.3
"BOX_9_1","DBO3.5","mid",29.99,"3",6.5
"BOX_8_74","CL3","bottom",50.08,"3",3.7
"BOX_5_36","CNL12","bottom",49.67,"3",2.8
"BOX_8_75","CL3","mid",32.98,"3",1.8
"BOX_8_47","CPL7","surf",4.57,"3",1.2
"BOX_8_58","DBO1.10","mid",19.82,"3",0.6
"BOX_8_76","CNL12","mid",14.95,"3",NA
"BOX_8_81","CNL9","mid",29.85,"4",7
"BOX_8_82","CNL9","bottom",53.97,"4",6.9
"BOX_8_80","CNL9","mid",19.95,"4",4.5
"BOX_9_29","KL2","mid",20.1,"4",1.2
"BOX_8_77","CNL10","surf",2.94,"4",0.5
"BOX_8_79","CNL9","surf",3.28,"4",0.3
"BOX_9_32","KL2","surf",3.02,"4",0.2
"BOX_9_33","SLY9.5","bottom",13.96,"4",0.2
"BOX_5_37","CL0","bottom",28.13,"4",0.1
"BOX_9_66","IL2","surf",3.85,"4",0.1
"BOX_5_32","CL0","surf",3.12,"4",0
"BOX_6_71","SLY9","bottom",16.85,"4",0
