"cluster_a","cluster_b","p_adj","index","sig"
"A2","A1",0.9762,"Observed_ASVs","ns"
"B1","A1",2e-04,"Observed_ASVs","***"
"B2a","A1",2e-04,"Observed_ASVs","***"
"B2b","A1",1e-04,"Observed_ASVs","***"
"C1a","A1",2e-04,"Observed_ASVs","***"
"C1b1","A1",0.001,"Observed_ASVs","**"
"C1b2","A1",1e-04,"Observed_ASVs","***"
"C2a","A1",4e-04,"Observed_ASVs","***"
"C2b1","A1",5e-04,"Observed_ASVs","***"
"C2b2","A1",1e-04,"Observed_ASVs","***"
"B1","A2",0,"Observed_ASVs","***"
"B2a","A2",0,"Observed_ASVs","***"
"B2b","A2",0,"Observed_ASVs","***"
"C1a","A2",0,"Observed_ASVs","***"
"C1b1","A2",2e-04,"Observed_ASVs","***"
"C1b2","A2",0,"Observed_ASVs","***"
"C2a","A2",1e-04,"Observed_ASVs","***"
"C2b1","A2",1e-04,"Observed_ASVs","***"
"C2b2","A2",0,"Observed_ASVs","***"
"B2a","B1",0.6926,"Observed_ASVs","ns"
"B2b","B1",0.2904,"Observed_ASVs","ns"
"C1a","B1",0.0024,"Observed_ASVs","**"
"C1b1","B1",0.6144,"Observed_ASVs","ns"
"C1b2","B1",0.0343,"Observed_ASVs","*"
"C2a","B1",6e-04,"Observed_ASVs","***"
"C2b1","B1",0.2202,"Observed_ASVs","ns"
"C2b2","B1",0.001,"Observed_ASVs","**"
"B2b","B2a",0.1694,"Observed_ASVs","ns"
"C1a","B2a",0.0122,"Observed_ASVs","*"
"C1b1","B2a",0.3856,"Observed_ASVs","ns"
"C1b2","B2a",0.0662,"Observed_ASVs","ns"
"C2a","B2a",0.0012,"Observed_ASVs","**"
"C2b1","B2a",0.1284,"Observed_ASVs","ns"
"C2b2","B2a",0.0038,"Observed_ASVs","**"
"C1a","B2b",1e-04,"Observed_ASVs","***"
"C1b1","B2b",0.8332,"Observed_ASVs","ns"
"C1b2","B2b",0.0034,"Observed_ASVs","**"
"C2a","B2b",1e-04,"Observed_ASVs","***"
"C2b1","B2b",0.7508,"Observed_ASVs","ns"
"C2b2","B2b",0,"Observed_ASVs","***"
"C1b1","C1a",0.0056,"Observed_ASVs","**"
"C1b2","C1a",0.7568,"Observed_ASVs","ns"
"C2a","C1a",0.1162,"Observed_ASVs","ns"
"C2b1","C1a",3e-04,"Observed_ASVs","***"
"C2b2","C1a",0.9762,"Observed_ASVs","ns"
"C1b2","C1b1",0.0394,"Observed_ASVs","*"
"C2a","C1b1",0.0028,"Observed_ASVs","**"
"C2b1","C1b1",0.6387,"Observed_ASVs","ns"
"C2b2","C1b1",0.0028,"Observed_ASVs","**"
"C2a","C1b2",0.1314,"Observed_ASVs","ns"
"C2b1","C1b2",0.0087,"Observed_ASVs","**"
"C2b2","C1b2",0.7568,"Observed_ASVs","ns"
"C2b1","C2a",5e-04,"Observed_ASVs","***"
"C2b2","C2a",0.0723,"Observed_ASVs","ns"
"C2b2","C2b1",1e-04,"Observed_ASVs","***"
"A2","A1",0.3898,"Shannon","ns"
"B1","A1",0,"Shannon","***"
"B2a","A1",0,"Shannon","***"
"B2b","A1",0,"Shannon","***"
"C1a","A1",0,"Shannon","***"
"C1b1","A1",0,"Shannon","***"
"C1b2","A1",0,"Shannon","***"
"C2a","A1",0,"Shannon","***"
"C2b1","A1",0,"Shannon","***"
"C2b2","A1",0,"Shannon","***"
"B1","A2",0,"Shannon","***"
"B2a","A2",0,"Shannon","***"
"B2b","A2",0,"Shannon","***"
"C1a","A2",0,"Shannon","***"
"C1b1","A2",0,"Shannon","***"
"C1b2","A2",0,"Shannon","***"
"C2a","A2",0,"Shannon","***"
"C2b1","A2",0,"Shannon","***"
"C2b2","A2",0,"Shannon","***"
"B2a","B1",0.6832,"Shannon","ns"
"B2b","B1",0.0039,"Shannon","**"
"C1a","B1",0,"Shannon","***"
"C1b1","B1",0.7876,"Shannon","ns"
"C1b2","B1",3e-04,"Shannon","***"
"C2a","B1",0.0043,"Shannon","**"
"C2b1","B1",0.3898,"Shannon","ns"
"C2b2","B1",0.0288,"Shannon","*"
"B2b","B2a",0.0207,"Shannon","*"
"C1a","B2a",0,"Shannon","***"
"C1b1","B2a",0.5463,"Shannon","ns"
"C1b2","B2a",4e-04,"Shannon","***"
"C2a","B2a",0.0049,"Shannon","**"
"C2b1","B2a",0.2518,"Shannon","ns"
"C2b2","B2a",0.0339,"Shannon","*"
"C1a","B2b",0,"Shannon","***"
"C1b1","B2b",0.0021,"Shannon","**"
"C1b2","B2b",0,"Shannon","***"
"C2a","B2b",0,"Shannon","***"
"C2b1","B2b",4e-04,"Shannon","***"
"C2b2","B2b",0,"Shannon","***"
"C1b1","C1a",3e-04,"Shannon","***"
"C1b2","C1a",0.7876,"Shannon","ns"
"C2a","C1a",0.0345,"Shannon","*"
"C2b1","C1a",0,"Shannon","***"
"C2b2","C1a",0.0015,"Shannon","**"
"C1b2","C1b1",0.0059,"Shannon","**"
"C2a","C1b1",0.0345,"Shannon","*"
"C2b1","C1b1",0.5247,"Shannon","ns"
"C2b2","C1b1",0.1848,"Shannon","ns"
"C2a","C1b2",0.3362,"Shannon","ns"
"C2b1","C1b2",0.0039,"Shannon","**"
"C2b2","C1b2",0.0345,"Shannon","*"
"C2b1","C2a",0.0123,"Shannon","*"
"C2b2","C2a",0.3923,"Shannon","ns"
"C2b2","C2b1",0.1932,"Shannon","ns"
"A2","A1",0.2098,"Simpson","ns"
"B1","A1",0,"Simpson","***"
"B2a","A1",0,"Simpson","***"
"B2b","A1",0,"Simpson","***"
"C1a","A1",0,"Simpson","***"
"C1b1","A1",0,"Simpson","***"
"C1b2","A1",0,"Simpson","***"
"C2a","A1",0,"Simpson","***"
"C2b1","A1",0,"Simpson","***"
"C2b2","A1",0,"Simpson","***"
"B1","A2",0,"Simpson","***"
"B2a","A2",0,"Simpson","***"
"B2b","A2",0.0013,"Simpson","**"
"C1a","A2",0,"Simpson","***"
"C1b1","A2",0,"Simpson","***"
"C1b2","A2",0,"Simpson","***"
"C2a","A2",0,"Simpson","***"
"C2b1","A2",0,"Simpson","***"
"C2b2","A2",0,"Simpson","***"
"B2a","B1",0.1871,"Simpson","ns"
"B2b","B1",2e-04,"Simpson","***"
"C1a","B1",0,"Simpson","***"
"C1b1","B1",0.219,"Simpson","ns"
"C1b2","B1",0,"Simpson","***"
"C2a","B1",0.2551,"Simpson","ns"
"C2b1","B1",0.1788,"Simpson","ns"
"C2b2","B1",0.5807,"Simpson","ns"
"B2b","B2a",0.017,"Simpson","*"
"C1a","B2a",0,"Simpson","***"
"C1b1","B2a",0.0495,"Simpson","*"
"C1b2","B2a",0,"Simpson","***"
"C2a","B2a",0.9826,"Simpson","ns"
"C2b1","B2a",0.0333,"Simpson","*"
"C2b2","B2a",0.6181,"Simpson","ns"
"C1a","B2b",0,"Simpson","***"
"C1b1","B2b",0,"Simpson","***"
"C1b2","B2b",0,"Simpson","***"
"C2a","B2b",0.0143,"Simpson","*"
"C2b1","B2b",0,"Simpson","***"
"C2b2","B2b",7e-04,"Simpson","***"
"C1b1","C1a",9e-04,"Simpson","***"
"C1b2","C1a",0.9045,"Simpson","ns"
"C2a","C1a",0,"Simpson","***"
"C2b1","C1a",2e-04,"Simpson","***"
"C2b2","C1a",0,"Simpson","***"
"C1b2","C1b1",0.0179,"Simpson","*"
