"node","k","PC","permanova_R2","permanova_p","permanova_sig","permdisp_p","permdisp_sig","permanova_p_adj","permanova_adj_sig","top_PC"
"C1 vs C2",2,"PC1",0.3434,0.001,"***",0.9938,"ns",0.009,"**","***TOP***"
"C1 vs C2",2,"PC2",0.0715,0.009,"**",0.1652,"ns",0.0405,"*",""
"C1 vs C2",2,"PC3",0.0626,0.018,"*",0.171,"ns",0.045,"*",""
"C1 vs C2",2,"PC4",0.0313,0.092,"ns",0.035,"*",0.138,"ns",""
"C1 vs C2",2,"PC5",0.0148,0.254,"ns",0.8888,"ns",0.3266,"ns",""
"C1 vs C2",2,"PC6",0.0504,0.033,"*",0.3363,"ns",0.0594,"ns",""
"C1 vs C2",2,"PC7",0.0557,0.02,"*",0.002,"**",0.045,"*",""
"C1 vs C2",2,"PC8",0.0032,0.555,"ns",0.8536,"ns",0.6244,"ns",""
"C1 vs C2",2,"PC9",0.0017,0.674,"ns",0.0095,"**",0.674,"ns",""
"C1a vs C1b",4,"PC1",0.007,0.593,"ns",0.913,"ns",0.641,"ns",""
"C1a vs C1b",4,"PC2",0.0203,0.35,"ns",0.8778,"ns",0.525,"ns",""
"C1a vs C1b",4,"PC3",0.0212,0.5475,"ns",0.0113,"*",0.641,"ns",""
"C1a vs C1b",4,"PC4",0.0066,0.641,"ns",0.4479,"ns",0.641,"ns",""
"C1a vs C1b",4,"PC5",0.1905,0.012,"*",0.3325,"ns",0.054,"ns",""
"C1a vs C1b",4,"PC6",0.2364,0.006,"**",0.7555,"ns",0.054,"ns",""
"C1a vs C1b",4,"PC7",0.1748,0.027,"*",0.4591,"ns",0.081,"ns",""
"C1a vs C1b",4,"PC8",0.0465,0.339,"ns",0.3067,"ns",0.525,"ns",""
"C1a vs C1b",4,"PC9",0.0824,0.0876,"ns",0.8388,"ns",0.1971,"ns",""
"C2a vs C2b",4,"PC1",0.1004,0.03,"*",0.6661,"ns",0.09,"ns",""
"C2a vs C2b",4,"PC2",0.3187,0.003,"**",0.9317,"ns",0.0135,"*","***TOP***"
"C2a vs C2b",4,"PC3",0.108,0.046,"*",0.5029,"ns",0.1035,"ns",""
"C2a vs C2b",4,"PC4",0.0323,0.339,"ns",0.0937,"ns",0.3814,"ns",""
"C2a vs C2b",4,"PC5",0.0018,0.933,"ns",0.2878,"ns",0.933,"ns",""
"C2a vs C2b",4,"PC6",0.0474,0.186,"ns",0.1543,"ns",0.3348,"ns",""
"C2a vs C2b",4,"PC7",0.0269,0.3132,"ns",0.5896,"ns",0.3814,"ns",""
"C2a vs C2b",4,"PC8",0.0525,0.33,"ns",0.9948,"ns",0.3814,"ns",""
"C2a vs C2b",4,"PC9",0.2909,0.002,"**",0.3847,"ns",0.0135,"*",""
"C2b1 vs C2b2",5,"PC1",0.0368,0.2689,"ns",0.9999,"ns",0.984,"ns",""
"C2b1 vs C2b2",5,"PC2",0.0022,0.767,"ns",0.998,"ns",0.9861,"ns",""
"C2b1 vs C2b2",5,"PC3",2e-04,0.934,"ns",0.9988,"ns",1,"ns",""
"C2b1 vs C2b2",5,"PC4",0.0057,0.7056,"ns",0.9996,"ns",0.9861,"ns",""
"C2b1 vs C2b2",5,"PC5",0.0018,1,"ns",0.9335,"ns",1,"ns",""
"C2b1 vs C2b2",5,"PC6",0.0136,0.5489,"ns",0.8511,"ns",0.9861,"ns",""
"C2b1 vs C2b2",5,"PC7",0.0051,0.7433,"ns",0.9998,"ns",0.9861,"ns",""
"C2b1 vs C2b2",5,"PC8",0.0619,0.328,"ns",0.9999,"ns",0.984,"ns",""
"C2b1 vs C2b2",5,"PC9",0.0638,0.17,"ns",0.9818,"ns",0.984,"ns",""
"C1b1 vs C1b2",6,"PC1",0.2542,0.0107,"*",0.6551,"ns",0.0482,"*",""
"C1b1 vs C1b2",6,"PC2",0.0794,0.2005,"ns",0.9997,"ns",0.4125,"ns",""
"C1b1 vs C1b2",6,"PC3",0.0864,0.2381,"ns",0.4652,"ns",0.4125,"ns",""
"C1b1 vs C1b2",6,"PC4",0.0646,0.597,"ns",0.3141,"ns",0.6716,"ns",""
"C1b1 vs C1b2",6,"PC5",0.6963,0.0075,"**",0.9158,"ns",0.0482,"*","***TOP***"
"C1b1 vs C1b2",6,"PC6",0.0137,0.585,"ns",0.9989,"ns",0.6716,"ns",""
"C1b1 vs C1b2",6,"PC7",4e-04,0.941,"ns",1,"ns",0.941,"ns",""
"C1b1 vs C1b2",6,"PC8",0.1405,0.162,"ns",0.8848,"ns",0.4125,"ns",""
"C1b1 vs C1b2",6,"PC9",0.0521,0.275,"ns",0.1155,"ns",0.4125,"ns",""
