"PC","test","pair","R2","F_value","p_value","sig"
"PC1","PERMANOVA (overall)","11 clusters",0.396,10.69,0.001,"***"
"PC1","PERMDISP (overall)","11 clusters",NA,0.73,0.6942,"ns"
"PC1","Pairwise PERMANOVA","A1 vs A2",0.2257,6.41,0.0367,"*"
"PC1","Pairwise PERMANOVA","A1 vs B1",0.0841,2.11,0.2438,"ns"
"PC1","Pairwise PERMANOVA","A1 vs B2a",0.111,2.87,0.1733,"ns"
"PC1","Pairwise PERMANOVA","A1 vs B2b",0.0962,3.41,0.1118,"ns"
"PC1","Pairwise PERMANOVA","A1 vs C1a",0.108,2.54,0.1828,"ns"
"PC1","Pairwise PERMANOVA","A1 vs C1b1",0.0088,0.15,0.7389,"ns"
"PC1","Pairwise PERMANOVA","A1 vs C1b2",0.1833,5.84,0.043,"*"
"PC1","Pairwise PERMANOVA","A1 vs C2a",0.3134,8.67,0.022,"*"
"PC1","Pairwise PERMANOVA","A1 vs C2b1",0.1754,4.04,0.1045,"ns"
"PC1","Pairwise PERMANOVA","A1 vs C2b2",0.0577,2.02,0.2475,"ns"
"PC1","Pairwise PERMANOVA","A2 vs B1",0.4787,26.63,0.0031,"**"
"PC1","Pairwise PERMANOVA","A2 vs B2a",0.0559,1.72,0.2832,"ns"
"PC1","Pairwise PERMANOVA","A2 vs B2b",0.0732,3,0.1598,"ns"
"PC1","Pairwise PERMANOVA","A2 vs C1a",0.4825,25.17,0.0031,"**"
"PC1","Pairwise PERMANOVA","A2 vs C1b1",0.1671,4.61,0.0884,"ns"
"PC1","Pairwise PERMANOVA","A2 vs C1b2",0.5685,42.15,0.0031,"**"
"PC1","Pairwise PERMANOVA","A2 vs C2a",0.0025,0.06,0.827,"ns"
"PC1","Pairwise PERMANOVA","A2 vs C2b1",0.0277,0.71,0.4747,"ns"
"PC1","Pairwise PERMANOVA","A2 vs C2b2",0.1082,4.73,0.0884,"ns"
"PC1","Pairwise PERMANOVA","B1 vs B2a",0.3712,17.71,0.0058,"**"
"PC1","Pairwise PERMANOVA","B1 vs B2b",0.3622,22.14,0.0031,"**"
"PC1","Pairwise PERMANOVA","B1 vs C1a",0.0057,0.16,0.7389,"ns"
"PC1","Pairwise PERMANOVA","B1 vs C1b1",0.1452,4.08,0.091,"ns"
"PC1","Pairwise PERMANOVA","B1 vs C1b2",0.0439,1.52,0.3108,"ns"
"PC1","Pairwise PERMANOVA","B1 vs C2a",0.5771,35.49,0.0031,"**"
"PC1","Pairwise PERMANOVA","B1 vs C2b1",0.4557,21.77,0.0031,"**"
"PC1","Pairwise PERMANOVA","B1 vs C2b2",0.2931,16.59,0.0031,"**"
"PC1","Pairwise PERMANOVA","B2a vs B2b",9e-04,0.04,0.863,"ns"
"PC1","Pairwise PERMANOVA","B2a vs C1a",0.3835,17.42,0.0031,"**"
"PC1","Pairwise PERMANOVA","B2a vs C1b1",0.0594,1.52,0.2946,"ns"
"PC1","Pairwise PERMANOVA","B2a vs C1b2",0.485,31.08,0.0031,"**"
"PC1","Pairwise PERMANOVA","B2a vs C2a",0.0967,2.78,0.2043,"ns"
"PC1","Pairwise PERMANOVA","B2a vs C2b1",0.0078,0.2,0.701,"ns"
"PC1","Pairwise PERMANOVA","B2a vs C2b2",0.0119,0.48,0.5444,"ns"
"PC1","Pairwise PERMANOVA","B2b vs C1a",0.3748,22.18,0.0031,"**"
"PC1","Pairwise PERMANOVA","B2b vs C1b1",0.0488,1.69,0.2832,"ns"
"PC1","Pairwise PERMANOVA","B2b vs C1b2",0.4867,39.82,0.0031,"**"
"PC1","Pairwise PERMANOVA","B2b vs C2a",0.1143,4.52,0.0884,"ns"
"PC1","Pairwise PERMANOVA","B2b vs C2b1",0.0142,0.5,0.5362,"ns"
