"PC","test","pair","R2","F_value","p_value","sig"
"PC1","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.4494,14.2,0.001,"***"
"PC1","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,0.8,0.5547,"ns"
"PC1","Pairwise PERMANOVA","C1 vs C2",0.1688,4.47,0.102,"ns"
"PC1","Pairwise PERMANOVA","C1 vs C3",0.015,0.47,0.513,"ns"
"PC1","Pairwise PERMANOVA","C1 vs C4",0.5745,32.4,0.0025,"**"
"PC1","Pairwise PERMANOVA","C1 vs C5",0.4615,20.57,0.0025,"**"
"PC1","Pairwise PERMANOVA","C1 vs C6",0.3102,17.09,0.0025,"**"
"PC1","Pairwise PERMANOVA","C2 vs C3",0.2542,9.2,0.0086,"**"
"PC1","Pairwise PERMANOVA","C2 vs C4",0.239,6.28,0.0333,"*"
"PC1","Pairwise PERMANOVA","C2 vs C5",0.1075,2.41,0.2182,"ns"
"PC1","Pairwise PERMANOVA","C2 vs C6",0.0222,0.77,0.4264,"ns"
"PC1","Pairwise PERMANOVA","C3 vs C4",0.6497,53.8,0.0025,"**"
"PC1","Pairwise PERMANOVA","C3 vs C5",0.5529,35.87,0.0025,"**"
"PC1","Pairwise PERMANOVA","C3 vs C6",0.4239,31.64,0.0025,"**"
"PC1","Pairwise PERMANOVA","C4 vs C5",0.063,1.48,0.2781,"ns"
"PC1","Pairwise PERMANOVA","C4 vs C6",0.1535,6.53,0.0319,"*"
"PC1","Pairwise PERMANOVA","C5 vs C6",0.0368,1.38,0.2781,"ns"
"PC1","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9751,"ns"
"PC1","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9665,"ns"
"PC1","Pairwise PERMDISP","C1 vs C4",NA,NA,0.9881,"ns"
"PC1","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9998,"ns"
"PC1","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9971,"ns"
"PC1","Pairwise PERMDISP","C2 vs C3",NA,NA,0.6551,"ns"
"PC1","Pairwise PERMDISP","C2 vs C4",NA,NA,0.7806,"ns"
"PC1","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9968,"ns"
"PC1","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9984,"ns"
"PC1","Pairwise PERMDISP","C3 vs C4",NA,NA,1,"ns"
"PC1","Pairwise PERMDISP","C3 vs C5",NA,NA,0.899,"ns"
