"k","PC","test","pair","R2","F_value","p_value","sig"
2,"PC1","PERMANOVA (overall)","C1/C2",0.3434,47.59,0.001,"***"
2,"PC1","PERMDISP (overall)","C1/C2",NA,0,0.9938,"ns"
2,"PC1","Pairwise PERMANOVA","C1 vs C2",0.3434,47.59,0.001,"***"
2,"PC1","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9938,"ns"
2,"PC2","PERMANOVA (overall)","C1/C2",0.0715,7.01,0.011,"*"
2,"PC2","PERMDISP (overall)","C1/C2",NA,1.96,0.1652,"ns"
2,"PC2","Pairwise PERMANOVA","C1 vs C2",0.0715,7.01,0.011,"*"
2,"PC2","Pairwise PERMDISP","C1 vs C2",NA,NA,0.1652,"ns"
2,"PC3","PERMANOVA (overall)","C1/C2",0.0626,6.08,0.017,"*"
2,"PC3","PERMDISP (overall)","C1/C2",NA,1.9,0.171,"ns"
2,"PC3","Pairwise PERMANOVA","C1 vs C2",0.0626,6.08,0.015,"*"
2,"PC3","Pairwise PERMDISP","C1 vs C2",NA,NA,0.171,"ns"
2,"PC4","PERMANOVA (overall)","C1/C2",0.0313,2.94,0.097,"ns"
2,"PC4","PERMDISP (overall)","C1/C2",NA,4.58,0.035,"*"
2,"PC4","Pairwise PERMANOVA","C1 vs C2",0.0313,2.94,0.091,"ns"
2,"PC4","Pairwise PERMDISP","C1 vs C2",NA,NA,0.035,"*"
2,"PC5","PERMANOVA (overall)","C1/C2",0.0148,1.36,0.26,"ns"
2,"PC5","PERMDISP (overall)","C1/C2",NA,0.02,0.8888,"ns"
2,"PC5","Pairwise PERMANOVA","C1 vs C2",0.0148,1.36,0.239,"ns"
2,"PC5","Pairwise PERMDISP","C1 vs C2",NA,NA,0.8888,"ns"
2,"PC6","PERMANOVA (overall)","C1/C2",0.0504,4.83,0.025,"*"
2,"PC6","PERMDISP (overall)","C1/C2",NA,0.93,0.3363,"ns"
2,"PC6","Pairwise PERMANOVA","C1 vs C2",0.0504,4.83,0.034,"*"
2,"PC6","Pairwise PERMDISP","C1 vs C2",NA,NA,0.3363,"ns"
2,"PC7","PERMANOVA (overall)","C1/C2",0.0557,5.37,0.024,"*"
2,"PC7","PERMDISP (overall)","C1/C2",NA,10.13,0.002,"**"
2,"PC7","Pairwise PERMANOVA","C1 vs C2",0.0557,5.37,0.016,"*"
2,"PC7","Pairwise PERMDISP","C1 vs C2",NA,NA,0.002,"**"
2,"PC8","PERMANOVA (overall)","C1/C2",0.0032,0.29,0.586,"ns"
2,"PC8","PERMDISP (overall)","C1/C2",NA,0.03,0.8536,"ns"
2,"PC8","Pairwise PERMANOVA","C1 vs C2",0.0032,0.29,0.578,"ns"
2,"PC8","Pairwise PERMDISP","C1 vs C2",NA,NA,0.8536,"ns"
