"groups","test","pair","R2","F_value","p_value","sig"
"3 (A/B/C)","PERMANOVA (overall)","A/B/C",0.0419,3.74,0.001,"***"
"3 (A/B/C)","PERMDISP (overall)","A/B/C",NA,4.43,0.0134,"*"
"3 (A/B/C)","Pairwise PERMANOVA","A vs B",0.0643,5.43,0.003,"**"
"3 (A/B/C)","Pairwise PERMANOVA","A vs C",0.0316,3.75,0.0105,"*"
"3 (A/B/C)","Pairwise PERMANOVA","B vs C",0.0184,2.77,0.035,"*"
"3 (A/B/C)","Pairwise PERMDISP","A vs B",NA,NA,0.0235,"*"
"3 (A/B/C)","Pairwise PERMDISP","A vs C",NA,NA,0.52,"ns"
"3 (A/B/C)","Pairwise PERMDISP","B vs C",NA,NA,0.0515,"ns"
"4 (A/B/C1/C2)","PERMANOVA (overall)","A/B/C1/C2",0.1476,9.81,0.001,"***"
"4 (A/B/C1/C2)","PERMDISP (overall)","A/B/C1/C2",NA,2.26,0.0829,"ns"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","A vs B",0.0643,5.43,0.006,"**"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","A vs C1",0.1374,10.35,0.002,"**"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","A vs C2",0.0356,2.66,0.04,"*"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","B vs C1",0.1258,14.1,0.002,"**"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","B vs C2",0.0334,3.63,0.0144,"*"
"4 (A/B/C1/C2)","Pairwise PERMANOVA","C1 vs C2",0.2017,22.99,0.002,"**"
"4 (A/B/C1/C2)","Pairwise PERMDISP","A vs B",NA,NA,0.1173,"ns"
"4 (A/B/C1/C2)","Pairwise PERMDISP","A vs C1",NA,NA,0.1244,"ns"
"4 (A/B/C1/C2)","Pairwise PERMDISP","A vs C2",NA,NA,0.0763,"ns"
"4 (A/B/C1/C2)","Pairwise PERMDISP","B vs C1",NA,NA,0.9997,"ns"
"4 (A/B/C1/C2)","Pairwise PERMDISP","B vs C2",NA,NA,0.9908,"ns"
"4 (A/B/C1/C2)","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9977,"ns"
"11 clusters","PERMANOVA (overall)","A1/A2/B1/B2a/B2b/C1a/C1b1/C1b2/C2a/C2b1/C2b2",0.2958,6.85,0.001,"***"
"11 clusters","PERMDISP (overall)","A1/A2/B1/B2a/B2b/C1a/C1b1/C1b2/C2a/C2b1/C2b2",NA,1.19,0.3002,"ns"
"11 clusters","Pairwise PERMANOVA","A1 vs A2",0.151,3.91,0.03,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs B1",0.0923,2.34,0.0813,"ns"
"11 clusters","Pairwise PERMANOVA","A1 vs B2a",0.1337,3.55,0.0307,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs B2b",0.1277,4.69,0.0132,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs C1a",0.0638,1.43,0.2355,"ns"
"11 clusters","Pairwise PERMANOVA","A1 vs C1b1",0.0276,0.48,0.7202,"ns"
"11 clusters","Pairwise PERMANOVA","A1 vs C1b2",0.1225,3.63,0.03,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs C2a",0.2072,4.97,0.0209,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs C2b1",0.1363,3,0.0336,"*"
"11 clusters","Pairwise PERMANOVA","A1 vs C2b2",0.0896,3.25,0.0376,"*"
"11 clusters","Pairwise PERMANOVA","A2 vs B1",0.2736,10.92,0.0027,"**"
"11 clusters","Pairwise PERMANOVA","A2 vs B2a",0.1271,4.22,0.0209,"*"
"11 clusters","Pairwise PERMANOVA","A2 vs B2b",0.1423,6.3,0.0132,"*"
"11 clusters","Pairwise PERMANOVA","A2 vs C1a",0.2815,10.58,0.0027,"**"
"11 clusters","Pairwise PERMANOVA","A2 vs C1b1",0.1393,3.72,0.03,"*"
"11 clusters","Pairwise PERMANOVA","A2 vs C1b2",0.3492,17.17,0.0027,"**"
"11 clusters","Pairwise PERMANOVA","A2 vs C2a",0.0127,0.32,0.7944,"ns"
"11 clusters","Pairwise PERMANOVA","A2 vs C2b1",0.1097,3.08,0.0716,"ns"
"11 clusters","Pairwise PERMANOVA","A2 vs C2b2",0.1465,6.7,0.0072,"**"
"11 clusters","Pairwise PERMANOVA","B1 vs B2a",0.2401,9.48,0.0027,"**"
"11 clusters","Pairwise PERMANOVA","B1 vs B2b",0.2107,10.41,0.0027,"**"
"11 clusters","Pairwise PERMANOVA","B1 vs C1a",0.0494,1.45,0.2475,"ns"
"11 clusters","Pairwise PERMANOVA","B1 vs C1b1",0.1246,3.42,0.0376,"*"
"11 clusters","Pairwise PERMANOVA","B1 vs C1b2",0.0745,2.66,0.0589,"ns"
