"pair","F_value","R2","p_value","p_adj","sig"
"1 vs 2",6.79,0.2359,0.001,0.001,"**"
"1 vs 3",18.74,0.4385,0.001,0.001,"**"
"1 vs 4",20.23,0.4574,0.001,0.001,"**"
"1 vs 5",24.24,0.4235,0.001,0.001,"**"
"1 vs 6",30.24,0.5902,0.001,0.001,"**"
"1 vs 7",25.21,0.4053,0.001,0.001,"**"
"1 vs 8",29.48,0.6081,0.001,0.001,"**"
"1 vs 9",22.39,0.5409,0.001,0.001,"**"
"1 vs 10",31.8,0.4691,0.001,0.001,"**"
"2 vs 3",28.89,0.4906,0.001,0.001,"**"
"2 vs 4",19.28,0.3913,0.001,0.001,"**"
"2 vs 5",37.73,0.4917,0.001,0.001,"**"
"2 vs 6",33.33,0.5525,0.001,0.001,"**"
"2 vs 7",43.21,0.5012,0.001,0.001,"**"
"2 vs 8",22.83,0.4773,0.001,0.001,"**"
"2 vs 9",23.43,0.4838,0.001,0.001,"**"
"2 vs 10",43.39,0.5082,0.001,0.001,"**"
"3 vs 4",11.25,0.2601,0.001,0.001,"**"
"3 vs 5",11.83,0.224,0.001,0.001,"**"
"3 vs 6",19.7,0.4045,0.001,0.001,"**"
"3 vs 7",19.92,0.3068,0.001,0.001,"**"
"3 vs 8",37.77,0.5831,0.001,0.001,"**"
"3 vs 9",29.1,0.5187,0.001,0.001,"**"
"3 vs 10",28.95,0.3969,0.001,0.001,"**"
"4 vs 5",11.07,0.2126,0.001,0.001,"**"
"4 vs 6",24.98,0.4627,0.001,0.001,"**"
"4 vs 7",31.08,0.4085,0.001,0.001,"**"
"4 vs 8",25.28,0.4836,0.001,0.001,"**"
"4 vs 9",20.14,0.4272,0.001,0.001,"**"
"4 vs 10",25.14,0.3636,0.001,0.001,"**"
"5 vs 6",37.46,0.4964,0.001,0.001,"**"
"5 vs 7",44.19,0.45,0.001,0.001,"**"
"5 vs 8",47.13,0.567,0.001,0.001,"**"
"5 vs 9",33.3,0.4805,0.001,0.001,"**"
"5 vs 10",31.79,0.3749,0.001,0.001,"**"
"6 vs 7",10.06,0.1932,0.001,0.001,"**"
"6 vs 8",21.25,0.4696,0.001,0.001,"**"
"6 vs 9",14.37,0.3745,0.001,0.001,"**"
"6 vs 10",12.11,0.2281,0.001,0.001,"**"
"7 vs 8",20.45,0.3383,0.001,0.001,"**"
"7 vs 9",20.06,0.334,0.001,0.001,"**"
"7 vs 10",18.96,0.2496,0.001,0.001,"**"
"8 vs 9",16.01,0.4212,0.001,0.001,"**"
"8 vs 10",14.16,0.2664,0.001,0.001,"**"
"9 vs 10",10.66,0.2147,0.001,0.001,"**"
