"test","pair","R2","F_value","p_value","sig","diff_dispersion","CI_lower","CI_upper"
"PERMANOVA (overall)","A1/A2/B1/B2a/B2b/C1a/C1b1/C1b2/C2a/C2b1/C2b2",0.5867,24.13,0.001,"***",NA,NA,NA
"PERMDISP (overall)","A1/A2/B1/B2a/B2b/C1a/C1b1/C1b2/C2a/C2b1/C2b2",NA,7.65,0,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs A2",0.2359,6.79,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs B1",0.4385,18.74,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs B2a",0.4574,20.23,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs B2b",0.4235,24.24,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C1a",0.5902,30.24,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C1b1",0.4853,16.97,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C1b2",0.5189,28.04,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C2a",0.6081,29.48,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C2b1",0.5409,22.39,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A1 vs C2b2",0.4691,31.8,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs B1",0.4906,28.89,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs B2a",0.3913,19.28,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs B2b",0.4917,37.73,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C1a",0.5525,33.33,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C1b1",0.5035,24.34,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C1b2",0.5567,40.18,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C2a",0.4773,22.83,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C2b1",0.4838,23.43,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","A2 vs C2b2",0.5082,43.39,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs B2a",0.2601,11.25,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs B2b",0.224,11.83,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C1a",0.4045,19.7,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C1b1",0.3553,14.33,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C1b2",0.4034,22.99,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C2a",0.5831,37.77,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C2b1",0.5187,29.1,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B1 vs C2b2",0.3969,28.95,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs B2b",0.2126,11.07,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C1a",0.4627,24.98,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C1b1",0.4212,18.92,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C1b2",0.5085,35.17,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C2a",0.4836,25.28,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C2b1",0.4272,20.14,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2a vs C2b2",0.3636,25.14,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C1a",0.4964,37.46,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C1b1",0.4044,23.76,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C1b2",0.5378,50.04,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C2a",0.567,47.13,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C2b1",0.4805,33.3,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","B2b vs C2b2",0.3749,31.79,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1a vs C1b1",0.257,7.96,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1a vs C1b2",0.3034,13.5,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1a vs C2a",0.4696,21.25,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1a vs C2b1",0.3745,14.37,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1a vs C2b2",0.2281,12.11,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b1 vs C1b2",0.1629,5.45,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b1 vs C2a",0.3993,13.96,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b1 vs C2b1",0.3682,12.24,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b1 vs C2b2",0.1847,8.61,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b2 vs C2a",0.4513,23.86,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b2 vs C2b1",0.4582,24.52,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C1b2 vs C2b2",0.3323,22.89,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C2a vs C2b1",0.4212,16.01,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C2a vs C2b2",0.2664,14.16,0.001,"***",NA,NA,NA
"Pairwise PERMANOVA","C2b1 vs C2b2",0.2147,10.66,0.001,"***",NA,NA,NA
"Pairwise PERMDISP","A2-A1",NA,NA,0.1638,"ns",0.0678,-0.011,0.1466
"Pairwise PERMDISP","B1-A1",NA,NA,0.2357,"ns",-0.0624,-0.1394,0.0146
