"cluster","fam_gen","class","mean_RA_pct"
"A1","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.682
"A1","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.04
"A1","Clade_I; Clade_Ia","Alphaproteobacteria",15.432
"A1","Cryomorphaceae; uncultured","Bacteroidia",0.071
"A1","Cyclobacteriaceae; Marinoscillum","Bacteroidia",0.283
"A1","Flavobacteriaceae; Formosa","Bacteroidia",5.182
"A1","Flavobacteriaceae; NS5_marine_group","Bacteroidia",0.014
"A1","Halieaceae; Luminiphilus","Gammaproteobacteria",0.268
"A1","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",0.564
"A1","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.226
"A1","Nitrincolaceae; uncultured","Gammaproteobacteria",29.519
"A1","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",5.968
"A1","Porticoccaceae; SAR92_clade","Gammaproteobacteria",12.035
"A1","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",2.184
"A1","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",3.329
"A1","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.429
"A1","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",12.323
"A1","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",1.365
"A1","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",0.542
"A1","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.92
"A1","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",2.088
"A2","Clade_I; Clade_Ia","Alphaproteobacteria",14.161
"A2","Cyclobacteriaceae; Marinoscillum","Bacteroidia",3.088
"A2","Halieaceae; Luminiphilus","Gammaproteobacteria",1.07
"A2","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",1.571
"A2","Moraxellaceae; Psychrobacter","Gammaproteobacteria",3.829
"A2","Nitrincolaceae; uncultured","Gammaproteobacteria",24.106
"A2","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",9.554
"A2","Porticoccaceae; SAR92_clade","Gammaproteobacteria",7.778
"A2","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",4.995
