"cluster","phylum","class","genus","mean_RA_pct","phylum_grp"
"A1","Bacteroidetes","Bacteroidia","Formosa",4.948,"Bacteroidetes"
"A1","Bacteroidetes","Bacteroidia","Marinoscillum",0.279,"Bacteroidetes"
"A1","Bacteroidetes","Bacteroidia","NS10_marine_group",0.003,"Bacteroidetes"
"A1","Bacteroidetes","Bacteroidia","NS5_marine_group",0.012,"Bacteroidetes"
"A1","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",0.189,"Bacteroidetes"
"A1","Bacteroidetes","Bacteroidia","uncultured",0.099,"Bacteroidetes"
"A1","Patescibacteria","Gracilibacteria","JGI_0000069-P22_ge",1.336,"Patescibacteria"
"A1","Proteobacteria","Alphaproteobacteria","Amylibacter",3.161,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Clade_Ia",15.112,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Loktanella",2.233,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.779,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",1.33,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Sulfitobacter",11.328,"Proteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","uncultured",0.051,"Proteobacteria"
"A1","Proteobacteria","Deltaproteobacteria","Peredibacter",0.046,"Proteobacteria"
"A1","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.031,"Proteobacteria"
"A1","Proteobacteria","Deltaproteobacteria","uncultured",0.027,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Alteromonas",0.681,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Arenicella",0.123,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.037,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.01,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Halioglobus",0.816,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.088,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.256,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Marinobacter",0.074,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",5.673,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",0.514,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Paraglaciecola",0.975,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Pseudohongiella",2.093,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Reinekea",0.225,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",0.454,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","SAR92_clade",11.321,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","SUP05_cluster",2.083,"Proteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","uncultured",29.773,"Proteobacteria"
"A1","Verrucomicrobia","Verrucomicrobiae","Lentimonas",2.086,"Verrucomicrobia"
"A1","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",1.679,"Verrucomicrobia"
"A1","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.028,"Verrucomicrobia"
"A2","Bacteroidetes","Bacteroidia","Marinoscillum",2.864,"Bacteroidetes"
"A2","Epsilonbacteraeota","Campylobacteria","Arcobacter",0.02,"Other"
"A2","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.674,"Planctomycetes"
"A2","Proteobacteria","Alphaproteobacteria","AEGEAN-169_marine_group_ge",0.182,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Amylibacter",3.952,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.534,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Clade_Ia",13.657,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Loktanella",0.784,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.023,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Octadecabacter",0.083,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",2.679,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","Sulfitobacter",2.48,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","uncultured",0.419,"Proteobacteria"
"A2","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.501,"Proteobacteria"
"A2","Proteobacteria","Deltaproteobacteria","Desulforhopalus",0.009,"Proteobacteria"
"A2","Proteobacteria","Deltaproteobacteria","Peredibacter",0.401,"Proteobacteria"
"A2","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.01,"Proteobacteria"
"A2","Proteobacteria","Deltaproteobacteria","uncultured",0.005,"Proteobacteria"
