"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"A1","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.003,"Bacteroidia"
"A1","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",0.059,"Bacteroidia"
"A1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.279,"Bacteroidia"
"A1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",4.948,"Bacteroidia"
"A1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",0.012,"Bacteroidia"
"A1","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",0.189,"Bacteroidia"
"A1","Patescibacteria","Gracilibacteria","JGI_0000069-P22_fa; JGI_0000069-P22_ge",1.336,"Gracilibacteria"
"A1","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",15.112,"Alphaproteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","OCS116_clade; OCS116_clade_ge",0.779,"Alphaproteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",3.161,"Alphaproteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",2.233,"Alphaproteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",11.328,"Alphaproteobacteria"
"A1","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",1.33,"Alphaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",0.681,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",0.975,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Halieaceae; Halioglobus",0.816,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.256,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",0.514,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",27.854,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",5.673,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",11.321,"Gammaproteobacteria"
"A1","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",2.093,"Gammaproteobacteria"
