"variable","A1","A2","B1","B2a","B2b","C1a","C1b1","C1b2","C2a","C2b1","C2b2"
"Latitude (°N)","64.68 (64.81 ± 1.54)","63.22 (63.43 ± 0.78)","67.5 (67 ± 1.86)","67.61 (66.93 ± 2.17)","67.41 (67.35 ± 1.89)","67.78 (67.78 ± 0.11)","66.25 (65.55 ± 1.11)","64.99 (64.97 ± 0.79)","64.68 (64.95 ± 1.48)","67.87 (66.46 ± 2.35)","67.63 (66.89 ± 1.96)"
"Depth (m)","4.24 (13.99 ± 16.83)","10.3 (12.5 ± 9.23)","19.82 (25.21 ± 19.06)","13.96 (16.22 ± 14.01)","13.46 (18.13 ± 15.15)","19.8 (23.33 ± 18.86)","13.17 (20.16 ± 17.58)","20.1 (23.21 ± 19.62)","6.93 (8.86 ± 6.43)","7.14 (15.74 ± 15.74)","20 (19.84 ± 13.33)"
"Temperature (°C)","3.41 (3.77 ± 1.48)","3.75 (5.2 ± 3.68)","3.5 (3.52 ± 1.08)","2.5 (2.67 ± 1.35)","2.84 (3.2 ± 1.83)","3.4 (3.39 ± 0.38)","3.94 (4.42 ± 1.29)","3.09 (2.81 ± 0.71)","5.4 (5.68 ± 2.69)","2.85 (3.18 ± 2.22)","2.14 (2.47 ± 1.89)"
"Salinity (PSU)","32.76 (32.54 ± 0.38)","31.11 (30.43 ± 2.38)","32.81 (32.71 ± 0.24)","31.67 (31.66 ± 0.88)","32.2 (32.07 ± 0.5)","32.85 (32.86 ± 0.04)","32.55 (32.53 ± 0.28)","32.76 (32.71 ± 0.31)","30.63 (30.89 ± 1.06)","31.9 (31.79 ± 0.64)","32.1 (31.98 ± 0.52)"
"DO (µmol/kg)","322.55 (334.26 ± 39.81)","314.41 (312.17 ± 34.43)","312.73 (326.59 ± 30.39)","349.58 (349.14 ± 32.5)","335.58 (338.38 ± 24.05)","316.37 (328.19 ± 36.23)","328.33 (325.86 ± 11.31)","309.68 (319.72 ± 32.41)","309.37 (312.16 ± 26.14)","347.39 (350.32 ± 34.51)","348.76 (351.31 ± 30.83)"
"NO3 (µM)","4.2 (7.86 ± 7)","0.1 (1.19 ± 3.52)","7.7 (7.97 ± 5)","0.15 (1.31 ± 2.47)","0.4 (1.14 ± 1.77)","10.5 (8.62 ± 4.39)","3.95 (5.03 ± 5.53)","15.1 (13.17 ± 5.05)","0.1 (1.48 ± 4.86)","0.2 (1.26 ± 2.26)","0.35 (1.57 ± 2.4)"
"PO4 (µM)","1.01 (1.02 ± 0.52)","0.72 (0.68 ± 0.32)","1.26 (1.19 ± 0.34)","0.74 (0.79 ± 0.27)","0.74 (0.74 ± 0.25)","1.35 (1.18 ± 0.41)","0.82 (0.81 ± 0.46)","1.54 (1.42 ± 0.31)","0.69 (0.69 ± 0.34)","0.57 (0.68 ± 0.27)","0.72 (0.78 ± 0.26)"
"Sil (µM)","8.2 (13.59 ± 11.93)","4.9 (6.89 ± 5.26)","9.8 (11.59 ± 8.39)","4.2 (5.02 ± 3.3)","2.7 (3.32 ± 2.65)","14 (12.86 ± 5.83)","5.3 (9.89 ± 9.7)","26 (23.12 ± 8.51)","4.65 (6.82 ± 7.57)","3.5 (3.52 ± 1.53)","3.35 (5.06 ± 4.24)"
"NH4 (µM)","0.8 (0.94 ± 0.74)","0.55 (0.54 ± 0.5)","3.21 (2.76 ± 1.36)","0.3 (0.91 ± 1.25)","1.35 (1.28 ± 0.9)","3.18 (2.85 ± 1.77)","0.94 (1.01 ± 0.85)","1.91 (1.71 ± 0.64)","0.2 (0.23 ± 0.19)","0.19 (0.86 ± 1.11)","0.82 (1.16 ± 1.03)"
"FlECO-AFL (mg/m³)","2.34 (5.06 ± 7.32)","1.41 (1.6 ± 1.11)","0.74 (1.98 ± 4.45)","0.76 (0.96 ± 0.75)","0.92 (1.28 ± 1.43)","2.09 (4.95 ± 5.04)","4.18 (3.99 ± 2.93)","1.07 (1.35 ± 0.73)","1.09 (1.61 ± 1.27)","0.73 (1.43 ± 1.83)","0.84 (1.85 ± 2.4)"
"Chl-a (µg/L)","3.02 (6.73 ± 8.53)","1.05 (1.39 ± 1.01)","0.92 (2.73 ± 3.93)","0.88 (1.35 ± 1.18)","0.76 (1.46 ± 1.92)","2.95 (7.77 ± 8.58)","8.03 (7.84 ± 6.19)","1.24 (1.49 ± 0.84)","1.06 (1.39 ± 0.95)","0.68 (1.92 ± 2.78)","1.15 (2.09 ± 2.55)"
