"variable","A1","A2","B1","B2a","B2b","C1a","C1b1","C1b2","C2a","C2b1","C2b2"
"Latitude (°N)","64.81 ± 1.54","63.43 ± 0.78","67 ± 1.86","66.93 ± 2.17","67.35 ± 1.89","67.78 ± 0.11","65.55 ± 1.11","64.97 ± 0.79","64.95 ± 1.48","66.46 ± 2.35","66.89 ± 1.96"
"Depth (m)","13.99 ± 16.83","12.5 ± 9.23","25.21 ± 19.06","16.22 ± 14.01","18.13 ± 15.15","23.33 ± 18.86","20.16 ± 17.58","23.21 ± 19.62","8.86 ± 6.43","15.74 ± 15.74","19.84 ± 13.33"
"Temperature (°C)","3.77 ± 1.48","5.2 ± 3.68","3.52 ± 1.08","2.67 ± 1.35","3.2 ± 1.83","3.39 ± 0.38","4.42 ± 1.29","2.81 ± 0.71","5.68 ± 2.69","3.18 ± 2.22","2.47 ± 1.89"
"Salinity (PSU)","32.54 ± 0.38","30.43 ± 2.38","32.71 ± 0.24","31.66 ± 0.88","32.07 ± 0.5","32.86 ± 0.04","32.53 ± 0.28","32.71 ± 0.31","30.89 ± 1.06","31.79 ± 0.64","31.98 ± 0.52"
"DO (µmol/kg)","334.26 ± 39.81","312.17 ± 34.43","326.59 ± 30.39","349.14 ± 32.5","338.38 ± 24.05","328.19 ± 36.23","325.86 ± 11.31","319.72 ± 32.41","312.16 ± 26.14","350.32 ± 34.51","351.31 ± 30.83"
"NO3 (µM)","7.86 ± 7","1.19 ± 3.52","7.97 ± 5","1.31 ± 2.47","1.14 ± 1.77","8.62 ± 4.39","5.03 ± 5.53","13.17 ± 5.05","1.48 ± 4.86","1.26 ± 2.26","1.57 ± 2.4"
"PO4 (µM)","1.02 ± 0.52","0.68 ± 0.32","1.19 ± 0.34","0.79 ± 0.27","0.74 ± 0.25","1.18 ± 0.41","0.81 ± 0.46","1.42 ± 0.31","0.69 ± 0.34","0.68 ± 0.27","0.78 ± 0.26"
"Sil (µM)","13.59 ± 11.93","6.89 ± 5.26","11.59 ± 8.39","5.02 ± 3.3","3.32 ± 2.65","12.86 ± 5.83","9.89 ± 9.7","23.12 ± 8.51","6.82 ± 7.57","3.52 ± 1.53","5.06 ± 4.24"
"NH4 (µM)","0.94 ± 0.74","0.54 ± 0.5","2.76 ± 1.36","0.91 ± 1.25","1.28 ± 0.9","2.85 ± 1.77","1.01 ± 0.85","1.71 ± 0.64","0.23 ± 0.19","0.86 ± 1.11","1.16 ± 1.03"
"FlECO-AFL (mg/m³)","5.06 ± 7.32","1.6 ± 1.11","1.98 ± 4.45","0.96 ± 0.75","1.28 ± 1.43","4.95 ± 5.04","3.99 ± 2.93","1.35 ± 0.73","1.61 ± 1.27","1.43 ± 1.83","1.85 ± 2.4"
"Chl-a (µg/L)","6.73 ± 8.53","1.39 ± 1.01","2.73 ± 3.93","1.35 ± 1.18","1.46 ± 1.92","7.77 ± 8.58","7.84 ± 6.19","1.49 ± 0.84","1.39 ± 0.95","1.92 ± 2.78","2.09 ± 2.55"
