"variable","A1","A2","B1","B2a","B2b","C1a","C1b1","C1b2","C2a","C2b1","C2b2"
"Latitude (°N)",64.68,63.22,67.5,67.61,67.41,67.78,66.25,64.99,64.68,67.87,67.63
"Depth (m)",4.24,10.3,19.82,13.96,13.46,19.8,13.17,20.1,6.93,7.14,20
"Temperature (°C)",3.41,3.75,3.5,2.5,2.84,3.4,3.94,3.09,5.4,2.85,2.14
"Salinity (PSU)",32.76,31.11,32.81,31.67,32.2,32.85,32.55,32.76,30.63,31.9,32.1
"DO (µmol/kg)",322.55,314.41,312.73,349.58,335.58,316.37,328.33,309.68,309.37,347.39,348.76
"NO3 (µM)",4.2,0.1,7.7,0.15,0.4,10.5,3.95,15.1,0.1,0.2,0.35
"PO4 (µM)",1.01,0.72,1.26,0.74,0.74,1.35,0.82,1.54,0.69,0.57,0.72
"Sil (µM)",8.2,4.9,9.8,4.2,2.7,14,5.3,26,4.65,3.5,3.35
"NH4 (µM)",0.8,0.55,3.21,0.3,1.35,3.18,0.94,1.91,0.2,0.19,0.82
"FlECO-AFL (mg/m³)",2.34,1.41,0.74,0.76,0.92,2.09,4.18,1.07,1.09,0.73,0.84
"Chl-a (µg/L)",3.02,1.05,0.92,0.88,0.76,2.95,8.03,1.24,1.06,0.68,1.15
