"station","depth_type","lat","lon","mean_NO3","mean_chl","n_samples"
"DBO3.1","surf",68.30042,-166.94126,0,0.37,1
"DBO3.1","mid",68.30042,-166.94126,NA,NA,1
"DBO3.1","bottom",68.30042,-166.94126,0,0.63,1
"DBO3.2","surf",68.24228,-167.11974,0.4,1.14,1
"DBO3.2","bottom",68.24228,-167.11974,0.3,0.86,1
"DBO3.3","surf",68.18544,-167.31098,0,0.37,1
"DBO3.3","bottom",68.18544,-167.31098,0.1,1.17,1
"DBO3.4","surf",68.12816,-167.501,0.1,0.27,1
"DBO3.4","mid",68.12816,-167.501,0.9,0.32,3
"DBO3.4","bottom",68.12816,-167.50102,1.8,0.56,1
"DBO3.5","surf",68.01322,-167.87114,7.3,0.51,1
"DBO3.5","mid",68.01322,-167.87114,6.5,0.7,1
"DBO3.5","bottom",68.01324,-167.87114,8.7,0.94,1
"DBO3.6","surf",67.78483,-168.60164,6.55,14.13,2
"DBO3.6","mid",67.728205,-168.78226,6.47,13.08,4
"DBO3.6","bottom",67.89806,-168.2404,12.4,1.07,1
"DBO3.7","surf",67.78342,-168.59994,5.9,9.44,1
"DBO3.7","mid",67.78342,-168.59994,10.5,2.6,2
"DBO3.7","bottom",67.78341,-168.59994,10.8,1.98,1
"DBO3.8","surf",67.67142,-168.95906,0.2,24.76,1
"DBO3.8","mid",67.67132,-168.959345,9.5,10.95,2
"DBO3.8","bottom",67.67118,-168.9598,11.9,2.43,1
