"cluster","station","n_samples","pct_of_cluster"
"B2a","CNL9",4,23.5
"B2a","CL0",2,11.8
"B2a","IL2",2,11.8
"B2a","KL2",2,11.8
"B2a","CL1",1,5.9
"B2a","CNL10",1,5.9
"B2a","IL1",1,5.9
"B2a","SLY7",1,5.9
"B2a","SLY8",1,5.9
"B2a","SLY9",1,5.9
"B2a","SLY9.5",1,5.9
"B2b","CL1.5",4,15.4
"B2b","CL2.5",3,11.5
"B2b","IL7",3,11.5
"B2b","CBE5",2,7.7
"B2b","CL3",2,7.7
"B2b","CPL6",2,7.7
"B2b","CBE2",1,3.8
"B2b","CBE3",1,3.8
"B2b","CL2",1,3.8
"B2b","CNL12",1,3.8
"B2b","CPL3",1,3.8
"B2b","CPL7",1,3.8
"B2b","DBO3.4",1,3.8
"B2b","IL3",1,3.8
"B2b","IL5",1,3.8
"B2b","IL9",1,3.8
"C2b1","DBO3.4",3,25
"C2b1","CBE1",2,16.7
"C2b1","IL1",2,16.7
"C2b1","CBE2",1,8.3
"C2b1","DBO3.1",1,8.3
"C2b1","DBO3.2",1,8.3
"C2b1","DBO3.3",1,8.3
"C2b1","SLY2",1,8.3
"C2b2","KL4",4,13.8
"C2b2","CBE3",2,6.9
"C2b2","CL1",2,6.9
"C2b2","DBO2.36",2,6.9
"C2b2","DBO3.1",2,6.9
"C2b2","KL2",2,6.9
"C2b2","CBE1",1,3.4
"C2b2","CBE5",1,3.4
"C2b2","CL0",1,3.4
"C2b2","CL2",1,3.4
"C2b2","CL2.5",1,3.4
"C2b2","CNL10",1,3.4
"C2b2","CPL5",1,3.4
"C2b2","CPL6",1,3.4
"C2b2","DBO1.10",1,3.4
"C2b2","DBO2.3",1,3.4
"C2b2","DBO3.2",1,3.4
"C2b2","DBO3.3",1,3.4
"C2b2","DBO3.4",1,3.4
"C2b2","IL2",1,3.4
"C2b2","IL3",1,3.4
