"cluster","transect","n_samples","n_stations","pct_of_cluster","stations"
"B2a","CNL",5,2,29.4,"CNL10, CNL9"
"B2a","SLY",4,4,23.5,"SLY7, SLY8, SLY9, SLY9.5"
"B2a","CL",3,2,17.6,"CL0, CL1"
"B2a","IL",3,2,17.6,"IL1, IL2"
"B2a","KL",2,1,11.8,"KL2"
"B2b","CL",10,4,38.5,"CL1.5, CL2, CL2.5, CL3"
"B2b","IL",6,4,23.1,"IL3, IL5, IL7, IL9"
"B2b","CBE",4,3,15.4,"CBE2, CBE3, CBE5"
"B2b","CPL",4,3,15.4,"CPL3, CPL6, CPL7"
"B2b","CNL",1,1,3.8,"CNL12"
"B2b","DBO3",1,1,3.8,"DBO3.4"
"C2b1","DBO3",6,4,50,"DBO3.1, DBO3.2, DBO3.3, DBO3.4"
"C2b1","CBE",3,2,25,"CBE1, CBE2"
"C2b1","IL",2,1,16.7,"IL1"
"C2b1","SLY",1,1,8.3,"SLY2"
"C2b2","KL",6,2,20.7,"KL2, KL4"
"C2b2","CL",5,4,17.2,"CL0, CL1, CL2, CL2.5"
"C2b2","DBO3",5,4,17.2,"DBO3.1, DBO3.2, DBO3.3, DBO3.4"
"C2b2","CBE",4,3,13.8,"CBE1, CBE3, CBE5"
"C2b2","DBO2",3,2,10.3,"DBO2.3, DBO2.36"
"C2b2","CPL",2,2,6.9,"CPL5, CPL6"
"C2b2","IL",2,2,6.9,"IL2, IL3"
"C2b2","CNL",1,1,3.4,"CNL10"
"C2b2","DBO1",1,1,3.4,"DBO1.10"
