"cluster11","n","n_stations","stations","lat_min","lat_max","lon_min","lon_max","depth_m_min","depth_m_max","bottom","mid","surf","surf_pct","mid_pct","bottom_pct"
"A1",9,8,"CB1, CBE2, CBW3, CNL5, DBO2.2, DBO2.36, DBO3.8, SLY2",63.22,67.67,-172.05,-167.4,3.2,44.7,2,2,5,55.6,22.2,22.2
"A2",15,8,"CNL2, SLY2, SLY4, SLY5, SLY6, SLY8, SLY9, SLY9.5",63.22,66.25,-168.96,-165.25,2.9,31.4,5,5,5,33.3,33.3,33.3
"B1",17,11,"CB1, CBW5, CL3, CNL10, CNL12, CNL5, CNL7, CPL7, DBO1.10, DBO3.5, DBO3.8",63.6,69.03,-172.59,-167.87,3.1,53.9,6,7,4,23.5,41.2,35.3
"B2a",17,11,"CL0, CL1, CNL10, CNL9, IL1, IL2, KL2, SLY7, SLY8, SLY9, SLY9.5",63.22,68.95,-168.95,-164.43,2.9,54,6,5,6,35.3,29.4,35.3
"B2b",26,16,"CBE2, CBE3, CBE5, CL1.5, CL2, CL2.5, CL3, CNL12, CPL3, CPL6, CPL7, DBO3.4, IL3, IL5, IL7, IL9",63.37,69.03,-168.95,-165.34,2.5,48,8,9,9,34.6,34.6,30.8
"C1a",14,4,"DBO3.5, DBO3.6, DBO3.7, DBO3.8",67.67,68.01,-168.96,-167.87,2.7,55.1,4,7,3,21.4,50,28.6
"C1b1",11,8,"CBW14, CBW3, CNL2, CPL7, CPL8, DBO1.10, DBO2.3, DBO2.5",63.6,66.5,-172.59,-168.12,3.6,47.8,2,5,4,36.4,45.5,18.2
"C1b2",19,11,"CBE10, CBW12, CBW14, CBW15, CBW3, CBW5, CBW9, CNL1, CNL2, DBO1.10, DBO2.5",63.6,66.25,-172.59,-166.88,3.3,54.9,7,6,6,31.6,31.6,36.8
"C2a",12,8,"CBE11, CPL1, CPL2, CPL3, DBO2.2, DBO2.3, SLY6, SLY7",63.22,66.5,-169.1,-165.6,3.2,23.2,3,3,6,50,25,25
"C2b1",12,8,"CBE1, CBE2, DBO3.1, DBO3.2, DBO3.3, DBO3.4, IL1, SLY2",63.22,68.3,-168.45,-164.43,2.6,45.9,4,2,6,50,16.7,33.3
"C2b2",29,21,"CBE1, CBE3, CBE5, CL0, CL1, CL2, CL2.5, CNL10, CPL5, CPL6, DBO1.10, DBO2.3, DBO2.36, DBO3.1, DBO3.2, DBO3.3, DBO3.4, IL2, IL3, KL2, KL4",63.3,69.03,-172.59,-164.88,2.8,44.9,10,13,6,20.7,44.8,34.5
