"cluster","n","start","end","span_days","n_unique_dates","dates"
"1",9,"Jun 12","Jun 28",16,6,"Jun 12, Jun 20, Jun 22, Jun 26, Jun 27, Jun 28"
"2",15,"Jun 24","Jun 28",4,2,"Jun 24, Jun 28"
"3",17,"Jun 12","Jun 26",14,9,"Jun 12, Jun 16, Jun 19, Jun 20, Jun 21, Jun 22, Jun 23, Jun 25, Jun 26"
"4",17,"Jun 15","Jun 28",13,5,"Jun 15, Jun 19, Jun 20, Jun 21, Jun 28"
"5",26,"Jun 19","Jun 28",9,6,"Jun 19, Jun 20, Jun 21, Jun 22, Jun 23, Jun 28"
"6",14,"Jun 20","Jun 21",1,2,"Jun 20, Jun 21"
"7",30,"Jun 23","Jun 27",4,5,"Jun 23, Jun 24, Jun 25, Jun 26, Jun 27"
"8",12,"Jun 23","Jun 28",5,3,"Jun 23, Jun 27, Jun 28"
"9",12,"Jun 21","Jun 28",7,2,"Jun 21, Jun 28"
"10",29,"Jun 15","Jun 28",13,8,"Jun 15, Jun 19, Jun 20, Jun 21, Jun 23, Jun 26, Jun 27, Jun 28"
