"cluster","n","start","end","span_days","n_unique_dates","dates"
"A1",9,"Jun 12","Jun 28",16,6,"Jun 12, Jun 20, Jun 22, Jun 26, Jun 27, Jun 28"
"A2",15,"Jun 24","Jun 28",4,2,"Jun 24, Jun 28"
"B1",17,"Jun 12","Jun 26",14,9,"Jun 12, Jun 16, Jun 19, Jun 20, Jun 21, Jun 22, Jun 23, Jun 25, Jun 26"
"B2a",17,"Jun 15","Jun 28",13,5,"Jun 15, Jun 19, Jun 20, Jun 21, Jun 28"
"B2b",26,"Jun 19","Jun 28",9,6,"Jun 19, Jun 20, Jun 21, Jun 22, Jun 23, Jun 28"
"C1a",14,"Jun 20","Jun 21",1,2,"Jun 20, Jun 21"
"C1b1",11,"Jun 23","Jun 27",4,5,"Jun 23, Jun 24, Jun 25, Jun 26, Jun 27"
"C1b2",19,"Jun 24","Jun 27",3,4,"Jun 24, Jun 25, Jun 26, Jun 27"
"C2a",12,"Jun 23","Jun 28",5,3,"Jun 23, Jun 27, Jun 28"
"C2b1",12,"Jun 21","Jun 28",7,2,"Jun 21, Jun 28"
"C2b2",29,"Jun 15","Jun 28",13,8,"Jun 15, Jun 19, Jun 20, Jun 21, Jun 23, Jun 26, Jun 27, Jun 28"
