"station","n_depths","depth_min","depth_max","depth_range","temp_surf","temp_bottom","sal_surf","sal_bottom","sigma_surf","sigma_bottom","delta_sigma","strat_class"
"CB1",2,3.9,45.8,41.9,5.13,2.31,32.69,32.84,25.832,26.221,0.389,"well-mixed"
"CBE1",3,3.9,35.8,32,3.67,0.64,32.05,32.42,25.474,25.991,0.517,"weakly stratified"
"CBE10",2,10,23,13,2.61,1.51,31.77,31.94,25.336,25.551,0.215,"well-mixed"
"CBE2",3,4.1,34.9,30.8,6.42,0.48,31.56,32.37,24.784,25.958,1.174,"strongly stratified"
"CBE3",3,3.8,28,24.2,5.96,0.91,31.75,32.36,24.993,25.928,0.935,"weakly stratified"
"CBE5",3,3.1,27.9,24.9,7.09,1.22,31.97,32.34,25.02,25.898,0.878,"weakly stratified"
"CBW12",2,4,48.1,44.1,3.12,3.12,32.9,32.9,26.197,26.198,0.001,"well-mixed"
"CBW14",2,4.9,47.8,42.9,3.09,3.09,32.84,32.84,26.154,26.153,-0.001,"well-mixed"
"CBW15",2,4.9,54.9,50,3.1,3.08,32.75,32.75,26.084,26.083,-0.001,"well-mixed"
"CBW3",4,4.3,44.7,40.5,6.92,1.83,32.34,32.82,25.338,26.236,0.898,"weakly stratified"
"CBW5",3,3.7,41.8,38.1,4.47,2.85,32.81,32.83,25.996,26.167,0.171,"well-mixed"
"CBW9",3,3.3,44.6,41.3,3.27,2.84,32.89,32.88,26.173,26.204,0.031,"well-mixed"
"CL0",3,3.1,28.1,25,2.5,0.39,30.41,31.68,24.259,25.413,1.154,"strongly stratified"
"CL1",3,3,43.9,40.8,2.76,0.73,30.73,32,24.495,25.65,1.155,"strongly stratified"
"CL1.5",4,3.2,45,41.7,2.38,1.38,31.41,32.14,25.069,25.72,0.651,"weakly stratified"
"CL2",2,9.9,45.9,36,3.21,1.77,31.1,32.33,24.755,25.85,1.095,"strongly stratified"
"CL2.5",4,3,48,45,5.27,2.05,30.79,32.51,24.309,25.973,1.664,"strongly stratified"
"CL3",4,3.2,50.1,46.8,6.13,2.49,31.25,32.76,24.578,26.136,1.558,"strongly stratified"
"CNL1",3,4.1,47.8,43.7,3.12,3.09,32.76,32.76,26.089,26.091,0.002,"well-mixed"
"CNL10",3,2.9,53.9,50.9,3.57,1.99,32.89,32.92,26.147,26.308,0.161,"well-mixed"
"CNL12",3,2.5,49.7,47.2,5.4,2.85,32.02,32.82,25.269,26.158,0.889,"weakly stratified"
"CNL2",4,4.1,52.6,48.5,4.31,3.31,32.71,32.75,25.932,26.063,0.131,"well-mixed"
"CNL5",3,4.2,43.8,39.5,3.74,3.63,32.81,32.83,26.067,26.094,0.027,"well-mixed"
"CNL7",2,3.1,10.2,7,4.79,2.82,32.82,32.78,25.968,26.132,0.164,"well-mixed"
