"Sample","transect","is_dbo3","cluster11","class","sample_pct"
"BOX_5_29","CNL","Other transects","B2b","Acidimicrobiia",0
"BOX_5_29","CNL","Other transects","B2b","Actinobacteria",0
"BOX_5_29","CNL","Other transects","B2b","Alphaproteobacteria",23.320329432163
"BOX_5_29","CNL","Other transects","B2b","Bacteroidia",36.6315955392679
"BOX_5_29","CNL","Other transects","B2b","CPR2",0
"BOX_5_29","CNL","Other transects","B2b","Campylobacteria",0
"BOX_5_29","CNL","Other transects","B2b","Chitinivibrionia",0
"BOX_5_29","CNL","Other transects","B2b","Clostridia",0
"BOX_5_29","CNL","Other transects","B2b","Deltaproteobacteria",0.137920163927966
"BOX_5_29","CNL","Other transects","B2b","Gammaproteobacteria",38.7476849115341
"BOX_5_29","CNL","Other transects","B2b","Gracilibacteria",0
"BOX_5_29","CNL","Other transects","B2b","Kiritimatiellae",0
"BOX_5_29","CNL","Other transects","B2b","Lentisphaeria",0
"BOX_5_29","CNL","Other transects","B2b","Lokiarchaeia",0
"BOX_5_29","CNL","Other transects","B2b","Marinimicrobia_(SAR406_clade)_cl",0
"BOX_5_29","CNL","Other transects","B2b","Mollicutes",0
"BOX_5_29","CNL","Other transects","B2b","Nitrososphaeria",0
"BOX_5_29","CNL","Other transects","B2b","Nitrospinia",0
"BOX_5_29","CNL","Other transects","B2b","OM190",0
"BOX_5_29","CNL","Other transects","B2b","Oligosphaeria",0
"BOX_5_29","CNL","Other transects","B2b","Oxyphotobacteria",0
"BOX_5_29","CNL","Other transects","B2b","Phycisphaerae",0
"BOX_5_29","CNL","Other transects","B2b","Planctomycetacia",0
"BOX_5_29","CNL","Other transects","B2b","Spirochaetia",0
"BOX_5_29","CNL","Other transects","B2b","Thermoplasmata",0
"BOX_5_29","CNL","Other transects","B2b","Verrucomicrobiae",1.16246995310714
"BOX_5_30","CL","Other transects","B2b","Acidimicrobiia",0
"BOX_5_30","CL","Other transects","B2b","Actinobacteria",0
"BOX_5_30","CL","Other transects","B2b","Alphaproteobacteria",4.54669504939687
"BOX_5_30","CL","Other transects","B2b","Bacteroidia",37.3778723868784
"BOX_5_30","CL","Other transects","B2b","CPR2",0
"BOX_5_30","CL","Other transects","B2b","Campylobacteria",0
"BOX_5_30","CL","Other transects","B2b","Chitinivibrionia",0
"BOX_5_30","CL","Other transects","B2b","Clostridia",0
"BOX_5_30","CL","Other transects","B2b","Deltaproteobacteria",0
"BOX_5_30","CL","Other transects","B2b","Gammaproteobacteria",55.9521860160472
"BOX_5_30","CL","Other transects","B2b","Gracilibacteria",0
"BOX_5_30","CL","Other transects","B2b","Kiritimatiellae",0
"BOX_5_30","CL","Other transects","B2b","Lentisphaeria",0
"BOX_5_30","CL","Other transects","B2b","Lokiarchaeia",0
"BOX_5_30","CL","Other transects","B2b","Marinimicrobia_(SAR406_clade)_cl",0
"BOX_5_30","CL","Other transects","B2b","Mollicutes",0
"BOX_5_30","CL","Other transects","B2b","Nitrososphaeria",0
"BOX_5_30","CL","Other transects","B2b","Nitrospinia",0
"BOX_5_30","CL","Other transects","B2b","OM190",0
"BOX_5_30","CL","Other transects","B2b","Oligosphaeria",0
"BOX_5_30","CL","Other transects","B2b","Oxyphotobacteria",0
"BOX_5_30","CL","Other transects","B2b","Phycisphaerae",0
"BOX_5_30","CL","Other transects","B2b","Planctomycetacia",0
"BOX_5_30","CL","Other transects","B2b","Spirochaetia",0
"BOX_5_30","CL","Other transects","B2b","Thermoplasmata",0
"BOX_5_30","CL","Other transects","B2b","Verrucomicrobiae",2.12324654767753
"BOX_5_31","CNL","Other transects","B1","Acidimicrobiia",0
"BOX_5_31","CNL","Other transects","B1","Actinobacteria",0
"BOX_5_31","CNL","Other transects","B1","Alphaproteobacteria",18.5799488781596
"BOX_5_31","CNL","Other transects","B1","Bacteroidia",33.3996023856859
"BOX_5_31","CNL","Other transects","B1","CPR2",0
"BOX_5_31","CNL","Other transects","B1","Campylobacteria",0
"BOX_5_31","CNL","Other transects","B1","Chitinivibrionia",0
"BOX_5_31","CNL","Other transects","B1","Clostridia",0
"BOX_5_31","CNL","Other transects","B1","Deltaproteobacteria",0.198807157057654
"BOX_5_31","CNL","Other transects","B1","Gammaproteobacteria",40.8463504686169
"BOX_5_31","CNL","Other transects","B1","Gracilibacteria",0
"BOX_5_31","CNL","Other transects","B1","Kiritimatiellae",0
"BOX_5_31","CNL","Other transects","B1","Lentisphaeria",0
"BOX_5_31","CNL","Other transects","B1","Lokiarchaeia",0
"BOX_5_31","CNL","Other transects","B1","Marinimicrobia_(SAR406_clade)_cl",0
"BOX_5_31","CNL","Other transects","B1","Mollicutes",0
"BOX_5_31","CNL","Other transects","B1","Nitrososphaeria",0
"BOX_5_31","CNL","Other transects","B1","Nitrospinia",0
"BOX_5_31","CNL","Other transects","B1","OM190",0
"BOX_5_31","CNL","Other transects","B1","Oligosphaeria",0
"BOX_5_31","CNL","Other transects","B1","Oxyphotobacteria",0
"BOX_5_31","CNL","Other transects","B1","Phycisphaerae",0
"BOX_5_31","CNL","Other transects","B1","Planctomycetacia",0
"BOX_5_31","CNL","Other transects","B1","Spirochaetia",0
"BOX_5_31","CNL","Other transects","B1","Thermoplasmata",0
"BOX_5_31","CNL","Other transects","B1","Verrucomicrobiae",6.97529111047998
"BOX_5_32","CL","Other transects","B2a","Acidimicrobiia",0
"BOX_5_32","CL","Other transects","B2a","Actinobacteria",0
"BOX_5_32","CL","Other transects","B2a","Alphaproteobacteria",20.7700696250315
"BOX_5_32","CL","Other transects","B2a","Bacteroidia",29.4438386041439
"BOX_5_32","CL","Other transects","B2a","CPR2",0
"BOX_5_32","CL","Other transects","B2a","Campylobacteria",0
"BOX_5_32","CL","Other transects","B2a","Chitinivibrionia",0
"BOX_5_32","CL","Other transects","B2a","Clostridia",0
"BOX_5_32","CL","Other transects","B2a","Deltaproteobacteria",0.155188323127254
"BOX_5_32","CL","Other transects","B2a","Gammaproteobacteria",49.6309034476973
"BOX_5_32","CL","Other transects","B2a","Gracilibacteria",0
"BOX_5_32","CL","Other transects","B2a","Kiritimatiellae",0
"BOX_5_32","CL","Other transects","B2a","Lentisphaeria",0
"BOX_5_32","CL","Other transects","B2a","Lokiarchaeia",0
"BOX_5_32","CL","Other transects","B2a","Marinimicrobia_(SAR406_clade)_cl",0
"BOX_5_32","CL","Other transects","B2a","Mollicutes",0
"BOX_5_32","CL","Other transects","B2a","Nitrososphaeria",0
"BOX_5_32","CL","Other transects","B2a","Nitrospinia",0
"BOX_5_32","CL","Other transects","B2a","OM190",0
"BOX_5_32","CL","Other transects","B2a","Oligosphaeria",0
"BOX_5_32","CL","Other transects","B2a","Oxyphotobacteria",0
"BOX_5_32","CL","Other transects","B2a","Phycisphaerae",0
"BOX_5_32","CL","Other transects","B2a","Planctomycetacia",0
"BOX_5_32","CL","Other transects","B2a","Spirochaetia",0
"BOX_5_32","CL","Other transects","B2a","Thermoplasmata",0
"BOX_5_32","CL","Other transects","B2a","Verrucomicrobiae",0
"BOX_5_33","CNL","Other transects","B1","Acidimicrobiia",0
"BOX_5_33","CNL","Other transects","B1","Actinobacteria",0
"BOX_5_33","CNL","Other transects","B1","Alphaproteobacteria",18.7851647720749
"BOX_5_33","CNL","Other transects","B1","Bacteroidia",29.8656562177058
"BOX_5_33","CNL","Other transects","B1","CPR2",0
"BOX_5_33","CNL","Other transects","B1","Campylobacteria",0
"BOX_5_33","CNL","Other transects","B1","Chitinivibrionia",0.103341370995522
"BOX_5_33","CNL","Other transects","B1","Clostridia",0
"BOX_5_33","CNL","Other transects","B1","Deltaproteobacteria",1.07934320817545
"BOX_5_33","CNL","Other transects","B1","Gammaproteobacteria",45.7917097255712
"BOX_5_33","CNL","Other transects","B1","Gracilibacteria",0
"BOX_5_33","CNL","Other transects","B1","Kiritimatiellae",0
"BOX_5_33","CNL","Other transects","B1","Lentisphaeria",0
"BOX_5_33","CNL","Other transects","B1","Lokiarchaeia",0
"BOX_5_33","CNL","Other transects","B1","Marinimicrobia_(SAR406_clade)_cl",0.0688942473303479
"BOX_5_33","CNL","Other transects","B1","Mollicutes",0
"BOX_5_33","CNL","Other transects","B1","Nitrososphaeria",0
"BOX_5_33","CNL","Other transects","B1","Nitrospinia",0
"BOX_5_33","CNL","Other transects","B1","OM190",0
"BOX_5_33","CNL","Other transects","B1","Oligosphaeria",0
"BOX_5_33","CNL","Other transects","B1","Oxyphotobacteria",0
"BOX_5_33","CNL","Other transects","B1","Phycisphaerae",0
"BOX_5_33","CNL","Other transects","B1","Planctomycetacia",0
"BOX_5_33","CNL","Other transects","B1","Spirochaetia",0
"BOX_5_33","CNL","Other transects","B1","Thermoplasmata",0
"BOX_5_33","CNL","Other transects","B1","Verrucomicrobiae",4.30589045814674
"BOX_5_34","CL","Other transects","B2a","Acidimicrobiia",0
"BOX_5_34","CL","Other transects","B2a","Actinobacteria",0
"BOX_5_34","CL","Other transects","B2a","Alphaproteobacteria",14.1430676051727
"BOX_5_34","CL","Other transects","B2a","Bacteroidia",36.880013095433
"BOX_5_34","CL","Other transects","B2a","CPR2",0
"BOX_5_34","CL","Other transects","B2a","Campylobacteria",0
"BOX_5_34","CL","Other transects","B2a","Chitinivibrionia",0
"BOX_5_34","CL","Other transects","B2a","Clostridia",0
