"ASV","log2FoldChange","padj","direction"
"Micrococcales (99); Microbacteriaceae (99); Candidatus_Aquiluna (73); ESV_115",-26.57,5.47e-233,"Enriched in B"
"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_370",-27.23,4.82e-228,"Enriched in B"
"Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889",-28.29,4.69e-197,"Enriched in B"
"Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156",-26.39,2.34e-178,"Enriched in B"
"Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264",-26.17,1.51e-161,"Enriched in B"
"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_125",-26.56,5.56e-135,"Enriched in B"
"Pseudomonadales (87); Moraxellaceae (87); Psychrobacter (83); ESV_364",-26.86,3.66e-118,"Enriched in B"
"Cellvibrionales (100); Porticoccaceae (100); Porticoccus (100); ESV_377",-25.66,4.68e-113,"Enriched in B"
"Gammaproteobacteria_Incertae_Sedis (6); Unknown_Family (6); Candidatus_Carsonella (6); ESV_1088",-26.35,6.62e-112,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15",-10.27,9.97e-107,"Enriched in B"
"Phycisphaerales (100); Phycisphaeraceae (100); Urania-1B-19_marine_sediment_group (79); ESV_802",-26.01,1.08e-100,"Enriched in B"
"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559",-25.59,9.14e-100,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101",-10.46,7.54e-97,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198",-9.87,3.55e-96,"Enriched in B"
"Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262",-8.18,9.55e-92,"Enriched in B"
"Verrucomicrobiales (100); Rubritaleaceae (100); Rubritalea (99); ESV_758",-26.31,9.61e-89,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257",-25.29,1.25e-83,"Enriched in B"
"Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155",-8.34,8.35e-77,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302",-9.3,8.56e-75,"Enriched in B"
"Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288",-8.95,7.28e-57,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); Algibacter (96); ESV_984",-25.42,7.93e-57,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); Halioglobus (96); ESV_1031",25.24,9.35e-53,"Enriched in A"
"SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_98",-25.57,1.28e-47,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133",-8.73,2.29e-47,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148",-8.49,3.06e-43,"Enriched in B"
"Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568",-8.18,8.63e-33,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29",-7.29,2.76e-27,"Enriched in B"
"Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763",-8.31,1.78e-22,"Enriched in B"
"uncultured (100); uncultured_fa (100); uncultured_ge (100); ESV_425",-7.11,2.52e-22,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS3a_marine_group (98); ESV_387",-7.09,5.02e-19,"Enriched in B"
"Microtrichales (100); Ilumatobacteraceae (100); Ilumatobacter (100); ESV_221",-7.25,6.83e-19,"Enriched in B"
"Cytophagales (70); Cyclobacteriaceae (69); uncultured (59); ESV_2022",-6.64,3.59e-12,"Enriched in B"
"Spirochaetales (5); Spirochaetaceae (5); uncultured (5); ESV_1032",-6.8,1.08e-11,"Enriched in B"
"Flavobacteriales (53); Cryomorphaceae (44); uncultured (43); ESV_504",-4.04,2.77e-09,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",-3.39,4.75e-09,"Enriched in B"
"Rickettsiales (5); Anaplasmataceae (1); Wolbachia (1); ESV_1127",-6.47,6.18e-09,"Enriched in B"
"NB1-j (98); NB1-j_fa (98); NB1-j_ge (98); ESV_661",-5.93,1.62e-08,"Enriched in B"
"SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_119",-4.9,3.23e-08,"Enriched in B"
"Cytophagales (30); Cyclobacteriaceae (30); Fabibacter (25); ESV_1027",-7.03,5.58e-08,"Enriched in B"
"Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_2448",-6.29,1.1e-07,"Enriched in B"
"SAR11_clade (100); Clade_IV (100); Clade_IV_ge (100); ESV_113",-6.87,2.41e-07,"Enriched in B"
"Alteromonadales (100); Colwelliaceae (100); Colwellia (100); ESV_479",-7.01,8.78e-07,"Enriched in B"
"Thiotrichales (92); Thiotrichaceae (92); Thiotrichaceae_ge (92); ESV_488",-6.62,3.57e-06,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266",-4.05,1.16e-05,"Enriched in B"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361",5.93,1.54e-05,"Enriched in A"
"Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803",-6.2,2.32e-05,"Enriched in B"
"Phycisphaerales (98); Phycisphaeraceae (98); Urania-1B-19_marine_sediment_group (67); ESV_623",-5.99,4.3e-05,"Enriched in B"
"Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451",-5.8,6.32e-05,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",-2.28,0.000101,"Enriched in B"
