"ASV","enriched_in","mean_3a_pct","mean_3b_pct","log2FC","pvalue","padj"
"Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","3b (northern/DBO3)",0.738,3.713,2.33,1.37e-07,9.79e-06
"Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","3b (northern/DBO3)",0.237,1.65,2.8,7.19e-08,9.79e-06
"Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (99); ESV_59","3b (northern/DBO3)",0,0.368,11.84,2.86e-07,1.37e-05
"Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302","3a (southern/Bering Strait)",1.905,0.099,-4.27,4.46e-07,1.59e-05
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","3a (southern/Bering Strait)",7.476,3.389,-1.14,7.37e-07,2.11e-05
"Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48","3b (northern/DBO3)",1.186,3.267,1.46,3.67e-06,6.55e-05
"Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_76","3b (northern/DBO3)",0.314,1.61,2.36,2.97e-06,6.55e-05
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133","3b (northern/DBO3)",0.29,1.242,2.1,3.37e-06,6.55e-05
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","3b (northern/DBO3)",0.41,1.278,1.64,7.26e-06,0.000104
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_478","3b (northern/DBO3)",0.014,0.413,4.86,6.89e-06,0.000104
"SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","3a (southern/Bering Strait)",7.078,2.671,-1.41,8.69e-06,0.000113
"Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","3b (northern/DBO3)",0.441,1.43,1.7,1.51e-05,0.000177
"Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889","3a (southern/Bering Strait)",1.829,0.026,-6.13,1.61e-05,0.000177
"Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_1166","3b (northern/DBO3)",0.031,0.195,2.64,1.98e-05,0.000203
"Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156","3b (northern/DBO3)",0.058,0.516,3.15,2.64e-05,0.000248
"Opitutales (100); Puniceicoccaceae (100); MB11C04_marine_group (100); ESV_652","3b (northern/DBO3)",0.015,0.283,4.19,2.77e-05,0.000248
"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_68","3b (northern/DBO3)",1.467,3.586,1.29,3.28e-05,0.000276
"SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_119","3a (southern/Bering Strait)",0.911,0.159,-2.52,4.4e-05,0.000349
"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","3b (northern/DBO3)",2.537,4.027,0.67,8.92e-05,0.000638
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","3b (northern/DBO3)",0.138,1.074,2.96,8.62e-05,0.000638
"Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601","3b (northern/DBO3)",0.027,0.433,4.02,0.000149,0.00101
"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10","3a (southern/Bering Strait)",5.645,2.267,-1.32,0.000246,0.00153
"Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148","3b (northern/DBO3)",0.233,0.779,1.74,0.00024,0.00153
"Gammaproteobacteria_Incertae_Sedis (6); Unknown_Family (6); Candidatus_Carsonella (6); ESV_1088","3a (southern/Bering Strait)",0.396,0.008,-5.55,0.00028,0.00167
"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","3b (northern/DBO3)",0.027,0.193,2.8,0.000429,0.00246
"Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","3b (northern/DBO3)",0.313,0.73,1.22,0.000457,0.00251
"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263","3a (southern/Bering Strait)",0.817,0.113,-2.85,0.000609,0.00322
