"ASV","mean_a","mean_b","log2FC","padj","direction"
"Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6",0.05248,0.39798,-2.92,1.76e-21,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15",0,0.257,-17.97,2.81e-21,"Enriched in B"
"Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155",0.0055,0.19967,-5.18,2.81e-21,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198",0,0.24101,-17.88,4.48e-21,"Enriched in B"
"Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262",0,0.18774,-17.52,4.48e-21,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101",0.00214,0.26481,-6.95,7.24e-21,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (94); NS9_marine_group_ge (94); ESV_302",0.00327,0.22391,-6.1,7.24e-21,"Enriched in B"
"Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288",0,0.17271,-17.4,2.8e-17,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30",0.07267,0.40855,-2.49,1.03e-16,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133",0,0.16586,-17.34,3.57e-15,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_29",0.00558,0.1863,-5.06,4.77e-15,"Enriched in B"
"Flavobacteriales (53); Cryomorphaceae (44); uncultured (43); ESV_504",0.00933,0.1565,-4.07,7.4e-15,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148",0.00302,0.15676,-5.7,1.26e-14,"Enriched in B"
"Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217",0.06844,0.27808,-2.02,5.68e-13,"Enriched in B"
"Betaproteobacteriales (100); Methylophilaceae (100); Methylotenera (99); ESV_568",0,0.141,-17.11,2.69e-12,"Enriched in B"
"SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_119",0.00598,0.13798,-4.53,4.13e-11,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266",0.0082,0.14574,-4.15,4.13e-11,"Enriched in B"
"uncultured (100); uncultured_fa (100); uncultured_ge (100); ESV_425",0,0.10144,-16.63,4.13e-11,"Enriched in B"
"Micrococcales (99); Microbacteriaceae (99); Candidatus_Aquiluna (73); ESV_115",0,0.10601,-16.69,1.61e-10,"Enriched in B"
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314",0.21211,0.05383,1.98,2.25e-10,"Enriched in A"
"Flavobacteriales (100); Flavobacteriaceae (100); NS3a_marine_group (98); ESV_387",0,0.10102,-16.62,2.91e-10,"Enriched in B"
"Microtrichales (100); Ilumatobacteraceae (100); Ilumatobacter (100); ESV_221",0,0.09363,-16.51,5.3e-10,"Enriched in B"
"Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763",0,0.12198,-16.9,5.3e-10,"Enriched in B"
"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_370",0,0.11838,-16.85,1e-09,"Enriched in B"
"Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889",0,0.11548,-16.82,1.89e-09,"Enriched in B"
"Kordiimonadales (100); uncultured (100); uncultured_ge (100); ESV_264",0,0.08327,-16.35,1.62e-07,"Enriched in B"
"Spirochaetales (5); Spirochaetaceae (5); uncultured (5); ESV_1032",0,0.07295,-16.15,1.62e-07,"Enriched in B"
"Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156",0.00299,0.09664,-5.01,1.66e-07,"Enriched in B"
"SAR11_clade (100); Clade_III (100); Clade_III_ge (100); ESV_151",0.02739,0.12208,-2.16,4.27e-07,"Enriched in B"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626",0.14388,0.02524,2.51,7.57e-07,"Enriched in A"
"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_125",0,0.0801,-16.29,8.15e-07,"Enriched in B"
"NB1-j (98); NB1-j_fa (98); NB1-j_ge (98); ESV_661",0,0.06072,-15.89,8.15e-07,"Enriched in B"
"Rickettsiales (5); Anaplasmataceae (1); Wolbachia (1); ESV_1127",0,0.06468,-15.98,8.15e-07,"Enriched in B"
"Thiomicrospirales (100); Thioglobaceae (100); SUP05_cluster (100); ESV_10",0.14805,0.343,-1.21,1.11e-06,"Enriched in B"
"Cytophagales (70); Cyclobacteriaceae (69); uncultured (59); ESV_2022",0.00436,0.07508,-4.11,1.12e-06,"Enriched in B"
"Cellvibrionales (100); Porticoccaceae (100); Porticoccus (100); ESV_377",0,0.06436,-15.97,4.26e-06,"Enriched in B"
"Gammaproteobacteria_Incertae_Sedis (6); Unknown_Family (6); Candidatus_Carsonella (6); ESV_1088",0,0.06781,-16.05,4.26e-06,"Enriched in B"
"Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_2448",0,0.05626,-15.78,4.26e-06,"Enriched in B"
"Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361",0.0866,0.00658,3.72,7e-06,"Enriched in A"
"Opitutales (100); Puniceicoccaceae (100); MB11C04_marine_group (100); ESV_652",0.01268,0.08289,-2.71,7.15e-06,"Enriched in B"
"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559",0,0.05956,-15.86,1.24e-05,"Enriched in B"
"Cytophagales (30); Cyclobacteriaceae (30); Fabibacter (25); ESV_1027",0,0.05772,-15.82,1.24e-05,"Enriched in B"
"Cellvibrionales (63); Halieaceae (49); Luminiphilus (27); ESV_601",0.21382,0.11848,0.85,1.26e-05,"Enriched in A"
"SAR11_clade (100); Clade_IV (100); Clade_IV_ge (100); ESV_113",0,0.05161,-15.66,2.06e-05,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_257",0,0.06205,-15.92,2.06e-05,"Enriched in B"
"Verrucomicrobiales (100); Rubritaleaceae (100); Rubritalea (99); ESV_758",0,0.05784,-15.82,3.57e-05,"Enriched in B"
"Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544",0.17527,0.06576,1.41,3.62e-05,"Enriched in A"
"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721",0.06679,0.00749,3.16,3.86e-05,"Enriched in A"
"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_263",0.00994,0.08261,-3.05,3.9e-05,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676",0.14851,0.04818,1.62,4.35e-05,"Enriched in A"
"Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764",0.01253,0.06953,-2.47,4.77e-05,"Enriched in B"
"Pseudomonadales (87); Moraxellaceae (87); Psychrobacter (83); ESV_364",0.02511,0.08619,-1.78,5.27e-05,"Enriched in B"
