"station","class","units"
"DBO3.1","Alphaproteobacteria",18
"DBO3.1","Bacteroidia",39
"DBO3.1","Gammaproteobacteria",40
"DBO3.1","Verrucomicrobiae",1
"DBO3.2","Alphaproteobacteria",15
"DBO3.2","Bacteroidia",39
"DBO3.2","Gammaproteobacteria",42
"DBO3.2","Verrucomicrobiae",3
"DBO3.3","Alphaproteobacteria",13
"DBO3.3","Bacteroidia",38
"DBO3.3","Gammaproteobacteria",47
"DBO3.3","Verrucomicrobiae",1
"DBO3.4","Alphaproteobacteria",15
"DBO3.4","Bacteroidia",45
"DBO3.4","Gammaproteobacteria",37
"DBO3.4","Verrucomicrobiae",2
"DBO3.5","Alphaproteobacteria",19
"DBO3.5","Bacteroidia",30
"DBO3.5","Deltaproteobacteria",1
"DBO3.5","Gammaproteobacteria",38
"DBO3.5","Verrucomicrobiae",12
"DBO3.6","Alphaproteobacteria",17
"DBO3.6","Bacteroidia",40
"DBO3.6","Gammaproteobacteria",37
"DBO3.6","Gracilibacteria",1
"DBO3.6","Verrucomicrobiae",5
"DBO3.7","Alphaproteobacteria",14
"DBO3.7","Bacteroidia",45
"DBO3.7","Gammaproteobacteria",33
"DBO3.7","Gracilibacteria",1
"DBO3.7","Verrucomicrobiae",6
"DBO3.8","Alphaproteobacteria",21
"DBO3.8","Bacteroidia",29
"DBO3.8","Gammaproteobacteria",38
"DBO3.8","Gracilibacteria",6
"DBO3.8","Verrucomicrobiae",5
