"cluster11","class","units"
"A1","Alphaproteobacteria",29
"A1","Bacteroidia",4
"A1","Gammaproteobacteria",50
"A1","Gracilibacteria",12
"A1","Verrucomicrobiae",4
"B1","Alphaproteobacteria",21
"B1","Bacteroidia",32
"B1","Deltaproteobacteria",1
"B1","Gammaproteobacteria",34
"B1","Gracilibacteria",3
"B1","Verrucomicrobiae",9
"B2b","Alphaproteobacteria",14
"B2b","Bacteroidia",51
"B2b","Gammaproteobacteria",35
"C1a","Alphaproteobacteria",16
"C1a","Bacteroidia",40
"C1a","Gammaproteobacteria",36
"C1a","Gracilibacteria",1
"C1a","Verrucomicrobiae",6
"C2b1","Alphaproteobacteria",14
"C2b1","Bacteroidia",42
"C2b1","Gammaproteobacteria",42
"C2b1","Verrucomicrobiae",1
"C2b2","Alphaproteobacteria",18
"C2b2","Bacteroidia",38
"C2b2","Gammaproteobacteria",40
"C2b2","Verrucomicrobiae",3
