"filter","fam_gen","class","mean_RA_pct"
"0.2 µm","Alteromonadaceae; Alteromonas","Gammaproteobacteria",3.771
"0.2 µm","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.377
"0.2 µm","Clade_I; Clade_Ia","Alphaproteobacteria",7.093
"0.2 µm","Crocinitomicaceae; Fluviicola","Bacteroidia",0.323
"0.2 µm","Cryomorphaceae; uncultured","Bacteroidia",3.423
"0.2 µm","Flavobacteriaceae; Algibacter","Bacteroidia",0.07
"0.2 µm","Flavobacteriaceae; Formosa","Bacteroidia",3.242
"0.2 µm","Flavobacteriaceae; Lutibacter","Bacteroidia",0.211
"0.2 µm","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.651
"0.2 µm","Flavobacteriaceae; NS5_marine_group","Bacteroidia",2.241
"0.2 µm","Flavobacteriaceae; Polaribacter","Bacteroidia",7.805
"0.2 µm","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.529
"0.2 µm","Flavobacteriaceae; Ulvibacter","Bacteroidia",8.228
"0.2 µm","Flavobacteriaceae; uncultured","Bacteroidia",3.755
"0.2 µm","Halieaceae; Halioglobus","Gammaproteobacteria",0.045
"0.2 µm","Halieaceae; Luminiphilus","Gammaproteobacteria",0.183
"0.2 µm","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",1.075
"0.2 µm","Methylophagaceae; uncultured","Gammaproteobacteria",0.542
"0.2 µm","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.265
"0.2 µm","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.071
"0.2 µm","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",1.063
"0.2 µm","Nitrincolaceae; uncultured","Gammaproteobacteria",18.435
"0.2 µm","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",2.543
"0.2 µm","Porticoccaceae; SAR92_clade","Gammaproteobacteria",3.422
"0.2 µm","Pseudoalteromonadaceae; Pseudoalteromonas","Gammaproteobacteria",0.304
"0.2 µm","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",0.823
"0.2 µm","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.88
"0.2 µm","Rhodobacteraceae; Loktanella","Alphaproteobacteria",1.69
"0.2 µm","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",0.03
"0.2 µm","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",2.057
"0.2 µm","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.454
"0.2 µm","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",1.967
"0.2 µm","Spongiibacteraceae; uncultured","Gammaproteobacteria",0.524
"0.2 µm","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",2.751
"0.2 µm","Unknown_Family; Candidatus_Carsonella","Gammaproteobacteria",0.003
"3 µm","Alteromonadaceae; Alteromonas","Gammaproteobacteria",9.091
"3 µm","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.305
"3 µm","Clade_I; Clade_Ia","Alphaproteobacteria",1.942
"3 µm","Crocinitomicaceae; Fluviicola","Bacteroidia",0.927
"3 µm","Cryomorphaceae; uncultured","Bacteroidia",1.935
"3 µm","Flavobacteriaceae; Algibacter","Bacteroidia",0.445
"3 µm","Flavobacteriaceae; Formosa","Bacteroidia",2.314
"3 µm","Flavobacteriaceae; Lutibacter","Bacteroidia",0.699
"3 µm","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.41
"3 µm","Flavobacteriaceae; NS5_marine_group","Bacteroidia",0.375
"3 µm","Flavobacteriaceae; Polaribacter","Bacteroidia",6.315
