"cluster","fam_gen","class","mean_RA_pct"
"1","Alteromonadaceae; Alteromonas","Gammaproteobacteria",3.559
"1","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",0.837
"1","Clade_I; Clade_Ia","Alphaproteobacteria",7.017
"1","Crocinitomicaceae; Fluviicola","Bacteroidia",0.347
"1","Cryomorphaceae; uncultured","Bacteroidia",3.353
"1","Flavobacteriaceae; Algibacter","Bacteroidia",0.104
"1","Flavobacteriaceae; Formosa","Bacteroidia",3.351
"1","Flavobacteriaceae; Lutibacter","Bacteroidia",0.281
"1","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.74
"1","Flavobacteriaceae; NS5_marine_group","Bacteroidia",2.137
"1","Flavobacteriaceae; Polaribacter","Bacteroidia",8.162
"1","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.528
"1","Flavobacteriaceae; Ulvibacter","Bacteroidia",7.764
"1","Flavobacteriaceae; uncultured","Bacteroidia",4.211
"1","Halieaceae; Halioglobus","Gammaproteobacteria",0.03
"1","Halieaceae; Luminiphilus","Gammaproteobacteria",0.134
"1","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",0.837
"1","Methylophagaceae; uncultured","Gammaproteobacteria",0.796
"1","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.77
"1","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.017
"1","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",1.346
"1","Nitrincolaceae; uncultured","Gammaproteobacteria",17.407
"1","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",2.243
"1","Porticoccaceae; SAR92_clade","Gammaproteobacteria",3.267
"1","Pseudoalteromonadaceae; Pseudoalteromonas","Gammaproteobacteria",0.294
"1","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",0.764
"1","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.854
"1","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.144
"1","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",0.06
"1","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",2.149
"1","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.608
"1","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",1.973
"1","Spongiibacteraceae; uncultured","Gammaproteobacteria",0.401
"1","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",2.849
"1","Unknown_Family; Candidatus_Carsonella","Gammaproteobacteria",0.091
"2","Alteromonadaceae; Alteromonas","Gammaproteobacteria",9.901
"2","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.685
"2","Clade_I; Clade_Ia","Alphaproteobacteria",0.74
"2","Crocinitomicaceae; Fluviicola","Bacteroidia",1.654
"2","Cryomorphaceae; uncultured","Bacteroidia",1.345
"2","Flavobacteriaceae; Algibacter","Bacteroidia",1.087
"2","Flavobacteriaceae; Formosa","Bacteroidia",3.729
"2","Flavobacteriaceae; Lutibacter","Bacteroidia",0.942
"2","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.062
"2","Flavobacteriaceae; NS5_marine_group","Bacteroidia",0.359
"2","Flavobacteriaceae; Polaribacter","Bacteroidia",4.678
"2","Flavobacteriaceae; Tenacibaculum","Bacteroidia",1.385
"2","Flavobacteriaceae; Ulvibacter","Bacteroidia",17.549
"2","Flavobacteriaceae; uncultured","Bacteroidia",8.224
"2","Halieaceae; Halioglobus","Gammaproteobacteria",0.256
"2","Halieaceae; Luminiphilus","Gammaproteobacteria",0.752
"2","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",4.161
"2","Methylophagaceae; uncultured","Gammaproteobacteria",1.625
"2","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.084
"2","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.162
"2","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.451
"2","Nitrincolaceae; uncultured","Gammaproteobacteria",1.291
"2","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",1.327
"2","Porticoccaceae; SAR92_clade","Gammaproteobacteria",2.547
"2","Pseudoalteromonadaceae; Pseudoalteromonas","Gammaproteobacteria",0.658
"2","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.618
"2","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.669
"2","Rhodobacteraceae; Loktanella","Alphaproteobacteria",11.47
"2","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",4.17
"2","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",0.843
"2","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",2.663
"2","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",0.184
"2","Spongiibacteraceae; uncultured","Gammaproteobacteria",3.124
"2","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",0.103
"2","Unknown_Family; Candidatus_Carsonella","Gammaproteobacteria",1.476
"3","Alteromonadaceae; Alteromonas","Gammaproteobacteria",10.895
"3","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.618
"3","Clade_I; Clade_Ia","Alphaproteobacteria",0.032
"3","Cryomorphaceae; uncultured","Bacteroidia",0.019
"3","Flavobacteriaceae; Algibacter","Bacteroidia",0.192
"3","Flavobacteriaceae; Formosa","Bacteroidia",0.837
"3","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.022
"3","Flavobacteriaceae; Polaribacter","Bacteroidia",2.205
"3","Flavobacteriaceae; Tenacibaculum","Bacteroidia",0.434
"3","Flavobacteriaceae; Ulvibacter","Bacteroidia",12.47
"3","Flavobacteriaceae; uncultured","Bacteroidia",10.436
"3","Halieaceae; Halioglobus","Gammaproteobacteria",0.595
"3","Halieaceae; Luminiphilus","Gammaproteobacteria",0.732
"3","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",4.647
"3","Methylophagaceae; uncultured","Gammaproteobacteria",0.025
"3","Moraxellaceae; Psychrobacter","Gammaproteobacteria",11.929
"3","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",0.253
"3","Nitrincolaceae; uncultured","Gammaproteobacteria",0.701
"3","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",0.971
"3","Porticoccaceae; SAR92_clade","Gammaproteobacteria",2.151
"3","Pseudoalteromonadaceae; Pseudoalteromonas","Gammaproteobacteria",1.144
"3","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.295
"3","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.029
"3","Rhodobacteraceae; Loktanella","Alphaproteobacteria",15.492
"3","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",1.19
"3","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",13.871
"3","Spongiibacteraceae; uncultured","Gammaproteobacteria",2.378
"3","Unknown_Family; Candidatus_Carsonella","Gammaproteobacteria",0.022
"4","Alteromonadaceae; Alteromonas","Gammaproteobacteria",6.887
"4","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.273
"4","Clade_I; Clade_Ia","Alphaproteobacteria",1.918
"4","Crocinitomicaceae; Fluviicola","Bacteroidia",2.203
"4","Cryomorphaceae; uncultured","Bacteroidia",2.285
"4","Flavobacteriaceae; Algibacter","Bacteroidia",0.015
"4","Flavobacteriaceae; Formosa","Bacteroidia",0.724
"4","Flavobacteriaceae; Lutibacter","Bacteroidia",1.193
"4","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.633
