"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"1","Actinobacteria","Acidimicrobiia","Ilumatobacteraceae; Ilumatobacter",0.219,"Acidimicrobiia"
"1","Actinobacteria","Acidimicrobiia","Microtrichaceae; Sva0996_marine_group",0.082,"Acidimicrobiia"
"1","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",0.326,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.196,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",3.27,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Fabibacter",0.232,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.712,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Algibacter",0.096,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Dokdonia",0.014,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",3.266,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.266,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.164,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS2b_marine_group",0.349,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS3a_marine_group",0.145,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.705,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",2.084,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",7.911,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.691,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_3",0.123,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",2.459,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",7.556,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",4.015,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",2.942,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",1.275,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Saprospiraceae; Portibacter",0.003,"Bacteroidia"
