"ASV","Class","Family","Genus","mean_RA_pct"
"ESV_50","Gammaproteobacteria","Alteromonadaceae","Alteromonas",16.742
"ESV_9","Bacteroidia","Flavobacteriaceae","Ulvibacter",9.476
"ESV_42","Alphaproteobacteria","Rhodobacteraceae","Loktanella",7.778
"ESV_4","Gammaproteobacteria","Nitrincolaceae","uncultured",7.518
"ESV_26","Alphaproteobacteria","Rhodobacteraceae","Sulfitobacter",4.225
"ESV_190","Verrucomicrobiae","Rubritaleaceae","Persicirhabdus",4.195
"ESV_130","Bacteroidia","Flavobacteriaceae","uncultured",3.455
"ESV_1","Alphaproteobacteria","Clade_I","Clade_Ia",3.423
"ESV_7","Bacteroidia","Flavobacteriaceae","Polaribacter",3.162
"ESV_34","Bacteroidia","Flavobacteriaceae","uncultured",2.925
"ESV_48","Bacteroidia","Flavobacteriaceae","Tenacibaculum",2.401
"ESV_174","Gammaproteobacteria","Spongiibacteraceae","uncultured",2.225
"ESV_68","Bacteroidia","NS11-12_marine_group","NS11-12_marine_group_ge",2.096
"ESV_261","Gammaproteobacteria","Porticoccaceae","SAR92_clade",1.68
"ESV_32","Bacteroidia","Cryomorphaceae","uncultured",1.294
"ESV_6","Bacteroidia","Flavobacteriaceae","Formosa",1.18
"ESV_10","Gammaproteobacteria","Thioglobaceae","SUP05_cluster",1.164
"ESV_678","Alphaproteobacteria","Rhodobacteraceae","Amylibacter",1.007
"ESV_15","Gammaproteobacteria","Halieaceae","OM60(NOR5)_clade",0.985
"ESV_177","Alphaproteobacteria","Rhodobacteraceae","Sulfitobacter",0.966
"ESV_139","Bacteroidia","Flavobacteriaceae","Ulvibacter",0.946
"ESV_72","Gammaproteobacteria","OM182_clade_fa","OM182_clade_ge",0.938
"ESV_30","Alphaproteobacteria","Rhodobacteraceae","Planktomarina",0.892
"ESV_38","Gammaproteobacteria","Alteromonadaceae","Paraglaciecola",0.878
"ESV_91","Gammaproteobacteria","Pseudoalteromonadaceae","Pseudoalteromonas",0.876
"ESV_88","Verrucomicrobiae","Puniceicoccaceae","Lentimonas",0.856
"ESV_102","Gammaproteobacteria","OM182_clade_fa","OM182_clade_ge",0.683
"ESV_2525","Gammaproteobacteria","Saccharospirillaceae","Oleibacter",0.664
"ESV_76","Gammaproteobacteria","Nitrincolaceae","uncultured",0.656
"ESV_58","Gammaproteobacteria","Porticoccaceae","SAR92_clade",0.647
"ESV_601","Gammaproteobacteria","Halieaceae","Luminiphilus",0.626
"ESV_1739","Gammaproteobacteria","Alteromonadaceae","Alteromonas",0.625
"ESV_101","Bacteroidia","Flavobacteriaceae","NS5_marine_group",0.611
"ESV_96","Gammaproteobacteria","Porticoccaceae","SAR92_clade",0.546
"ESV_597","Alphaproteobacteria","Rhodobacteraceae","Sulfitobacter",0.54
"ESV_676","Bacteroidia","Flavobacteriaceae","Polaribacter",0.407
"ESV_282","Alphaproteobacteria","Rhodobacteraceae","Octadecabacter",0.401
"ESV_201","Bacteroidia","Crocinitomicaceae","Fluviicola",0.393
"ESV_526","Bacteroidia","Flavobacteriaceae","Lutibacter",0.372
"ESV_709","Bacteroidia","NS11-12_marine_group","NS11-12_marine_group_ge",0.276
"ESV_1050","Alphaproteobacteria","Rhodobacteraceae","uncultured",0.257
"ESV_29","Bacteroidia","Flavobacteriaceae","NS5_marine_group",0.256
"ESV_220","Bacteroidia","Flavobacteriaceae","NS4_marine_group",0.254
"ESV_8","Gammaproteobacteria","SAR86_clade_fa","SAR86_clade_ge",0.249
"ESV_156","Gammaproteobacteria","Methylophagaceae","uncultured",0.249
"ESV_217","Bacteroidia","Cyclobacteriaceae","Marinoscillum",0.233
"ESV_544","Gammaproteobacteria","Halieaceae","OM60(NOR5)_clade",0.231
"ESV_221","Acidimicrobiia","Ilumatobacteraceae","Ilumatobacter",0.229
"ESV_322","Bacteroidia","Flavobacteriaceae","Polaribacter_1",0.228
"ESV_1234","Gammaproteobacteria","Halieaceae","Halioglobus",0.226
"ESV_37","Gammaproteobacteria","SAR86_clade_fa","SAR86_clade_ge",0.217
"ESV_107","Gammaproteobacteria","Pseudohongiellaceae","Pseudohongiella",0.209
"ESV_14","Alphaproteobacteria","Rhodobacteraceae","Amylibacter",0.205
"ESV_890","Alphaproteobacteria","Rhodobacteraceae","Sulfitobacter",0.2
"ESV_238","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0.193
"ESV_767","Bacteroidia","Saprospiraceae","Portibacter",0.19
"ESV_565","Bacteroidia","Flavobacteriaceae","Formosa",0.171
"ESV_133","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0.169
"ESV_370","Gammaproteobacteria","Methylophilaceae","OM43_clade",0.164
"ESV_626","Gammaproteobacteria","Porticoccaceae","SAR92_clade",0.144
"ESV_1264","Bacteroidia","Flavobacteriaceae","Lutibacter",0.13
"ESV_457","Alphaproteobacteria","SAR116_clade","SAR116_clade_ge",0.129
"ESV_1129","Gammaproteobacteria","Saccharospirillaceae","Reinekea",0.126
"ESV_418","Bacteroidia","Flavobacteriaceae","Tenacibaculum",0.123
"ESV_103","Gammaproteobacteria","Pseudoalteromonadaceae","Pseudoalteromonas",0.122
"ESV_198","Alphaproteobacteria","Rhodobacteraceae","Ascidiaceihabitans",0.121
"ESV_718","Gammaproteobacteria","Alteromonadaceae","Alteromonas",0.121
"ESV_959","Bacteroidia","Cryomorphaceae","uncultured",0.118
"ESV_98","Alphaproteobacteria","Clade_II","Clade_II_ge",0.117
"ESV_1019","Bacteroidia","Flavobacteriaceae","Lutimonas",0.115
"ESV_1155","Bacteroidia","Cryomorphaceae","NS10_marine_group",0.114
"ESV_314","Gammaproteobacteria","OM182_clade_fa","OM182_clade_ge",0.109
"ESV_119","Alphaproteobacteria","Clade_II","Clade_II_ge",0.107
"ESV_1507","Bacteroidia","Flavobacteriaceae","NS5_marine_group",0.103
"ESV_387","Bacteroidia","Flavobacteriaceae","NS3a_marine_group",0.097
"ESV_149","Bacteroidia","Flavobacteriaceae","NS4_marine_group",0.091
"ESV_296","Deltaproteobacteria","Desulfobulbaceae","uncultured",0.091
"ESV_376","Alphaproteobacteria","OCS116_clade","OCS116_clade_ge",0.09
"ESV_875","Gammaproteobacteria","Vibrionaceae","Vibrio",0.09
"ESV_1174","Gammaproteobacteria","Halieaceae","Marimicrobium",0.09
"ESV_2205","Bacteroidia","Flavobacteriaceae","Dokdonia",0.089
"ESV_1235","Bacteroidia","Flavobacteriaceae","Lutimonas",0.088
"ESV_288","Gammaproteobacteria","Burkholderiaceae","RS62_marine_group",0.086
"ESV_148","Bacteroidia","Flavobacteriaceae","NS2b_marine_group",0.085
"ESV_278","Deltaproteobacteria","Sva1033","Sva1033_ge",0.084
"ESV_568","Gammaproteobacteria","Methylophilaceae","Methylotenera",0.084
"ESV_1166","Bacteroidia","Saprospiraceae","uncultured",0.081
"ESV_4847","Gammaproteobacteria","B2M28_fa","B2M28_ge",0.078
"ESV_478","Gammaproteobacteria","Porticoccaceae","SAR92_clade",0.077
"ESV_504","Bacteroidia","Cryomorphaceae","uncultured",0.077
"ESV_6295","Gammaproteobacteria","Marinobacteraceae","Marinobacter",0.076
"ESV_276","Gammaproteobacteria","Marinobacteraceae","Marinobacter",0.073
"ESV_1451","Bacteroidia","Cryomorphaceae","uncultured",0.073
"ESV_3717","Alphaproteobacteria","Rhodobacteraceae","Profundibacterium",0.07
"ESV_1503","Gammaproteobacteria","OM182_clade_fa","OM182_clade_ge",0.068
"ESV_361","Gammaproteobacteria","Porticoccaceae","SAR92_clade",0.067
"ESV_825","Gammaproteobacteria","Arenicellaceae","Arenicella",0.065
"ESV_3279","Alphaproteobacteria","Methyloligellaceae","Methyloceanibacter",0.065
"ESV_280","Bacteroidia","Saprospiraceae","uncultured",0.059
"ESV_266","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0.058
"ESV_262","Alphaproteobacteria","Magnetospiraceae","uncultured",0.057
"ESV_622","Bacteroidia","Flavobacteriaceae","NS4_marine_group",0.056
"ESV_1318","Bacteroidia","Flavobacteriaceae","uncultured",0.053
"ESV_592","Alphaproteobacteria","Rhodobacteraceae","Sedimentitalea",0.05
"ESV_763","Gammaproteobacteria","Methylophagaceae","uncultured",0.048
"ESV_541","Bacteroidia","Cryomorphaceae","uncultured",0.047
"ESV_1629","Bacteroidia","Crocinitomicaceae","Fluviicola",0.041
"ESV_208","Gammaproteobacteria","Sedimenticolaceae","uncultured",0.039
"ESV_1012","Deltaproteobacteria","Sandaracinaceae","uncultured",0.037
"ESV_151","Alphaproteobacteria","Clade_III","Clade_III_ge",0.035
"ESV_11924","Actinobacteria","Propionibacteriaceae","uncultured",0.035
"ESV_488","Gammaproteobacteria","Thiotrichaceae","Thiotrichaceae_ge",0.034
"ESV_7996","Thermoleophilia","67-14","67-14_ge",0.034
"ESV_264","Alphaproteobacteria","uncultured","uncultured_ge",0.033
"ESV_302","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0.033
"ESV_1031","Gammaproteobacteria","Halieaceae","Halioglobus",0.033
"ESV_1207","Alphaproteobacteria","Sphingomonadaceae","Erythrobacter",0.033
"ESV_7301","Gammaproteobacteria","Nitrincolaceae","Neptunomonas",0.031
"ESV_1127","Alphaproteobacteria","Anaplasmataceae","Wolbachia",0.03
"ESV_2058","Deltaproteobacteria","Desulfobulbaceae","Desulforhopalus",0.03
"ESV_652","Verrucomicrobiae","Puniceicoccaceae","MB11C04_marine_group",0.026
"ESV_1254","Bacteroidia","Flavobacteriaceae","uncultured",0.025
"ESV_925","Alphaproteobacteria","Rhodobacteraceae","Loktanella",0.022
"ESV_829","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_fa","Marinimicrobia_(SAR406_clade)_ge",0.02
"ESV_2959","Gammaproteobacteria","Arenicellaceae","Arenicella",0.019
"ESV_7651","Gammaproteobacteria","Alcanivoracaceae","Alcanivorax",0.019
"ESV_94","Alphaproteobacteria","SAR116_clade","SAR116_clade_ge",0.017
"ESV_425","Alphaproteobacteria","uncultured_fa","uncultured_ge",0.017
"ESV_432","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0.017
"ESV_864","Bacteroidia","Crocinitomicaceae","Fluviicola",0.017
"ESV_1550","Gammaproteobacteria","Colwelliaceae","Colwellia",0.017
"ESV_1006","Bacteroidia","Flavobacteriaceae","Lutibacter",0.016
"ESV_1453","Deltaproteobacteria","Sva0485_fa","Sva0485_ge",0.016
"ESV_3020","Gammaproteobacteria","uncultured_fa","uncultured_ge",0.015
"ESV_4665","Bacteroidia","Marinifilaceae","uncultured",0.015
"ESV_59","Verrucomicrobiae","Rubritaleaceae","Roseibacillus",0.014
"ESV_4441","Bacteroidia","Saprospiraceae","uncultured",0.014
"ESV_168","Alphaproteobacteria","AEGEAN-169_marine_group","AEGEAN-169_marine_group_ge",0.013
"ESV_777","Bacteroidia","NS7_marine_group","NS7_marine_group_ge",0.013
"ESV_1747","Deltaproteobacteria","Bacteriovoracaceae","Peredibacter",0.013
"ESV_1460","Bacteroidia","Flavobacteriaceae","Maribacter",0.012
"ESV_1525","Gammaproteobacteria","Moraxellaceae","Psychrobacter",0.012
"ESV_5180","Gammaproteobacteria","Tenderiaceae","Candidatus_Tenderia",0.012
"ESV_113","Alphaproteobacteria","Clade_IV","Clade_IV_ge",0.011
"ESV_1803","Gammaproteobacteria","Litoricolaceae","Litoricola",0.011
"ESV_1808","Bacteroidia","Flavobacteriaceae","Croceibacter",0.011
"ESV_377","Gammaproteobacteria","Porticoccaceae","Porticoccus",0.01
"ESV_653","Alphaproteobacteria","Rhodobacteraceae","Litoreibacter",0.01
"ESV_257","Bacteroidia","Flavobacteriaceae","NS5_marine_group",0.009
"ESV_343","Acidimicrobiia","Microtrichaceae","Sva0996_marine_group",0.009
"ESV_1514","Gammaproteobacteria","Thiohalorhabdaceae","Granulosicoccus",0.009
"ESV_1679","Bacteroidia","NS11-12_marine_group","NS11-12_marine_group_ge",0.008
"ESV_559","Gammaproteobacteria","Psychromonadaceae","Psychromonas",0.007
"ESV_2022","Bacteroidia","Cyclobacteriaceae","uncultured",0.007
"ESV_2821","Bacteroidia","Cyclobacteriaceae","Fabibacter",0.007
"ESV_837","Bacteroidia","Flavobacteriaceae","NS5_marine_group",0.005
"ESV_2621","Campylobacteria","Arcobacteraceae","Arcobacter",0.005
"ESV_577","Gammaproteobacteria","Moraxellaceae","Psychrobacter",0.003
"ESV_6558","Gammaproteobacteria","Saccharospirillaceae","Oleispira",0.003
"ESV_2043","Gammaproteobacteria","Spongiibacteraceae","BD1-7_clade",0.002
"ESV_1032","Spirochaetia","Spirochaetaceae","uncultured",0.001
"ESV_63","Verrucomicrobiae","Rubritaleaceae","Persicirhabdus",0
"ESV_115","Actinobacteria","Microbacteriaceae","Candidatus_Aquiluna",0
"ESV_125","Gammaproteobacteria","Methylophilaceae","OM43_clade",0
"ESV_196","Bacteroidia","Flavobacteriaceae","Polaribacter_1",0
"ESV_263","Nitrososphaeria","Nitrosopumilaceae","Candidatus_Nitrosopumilus",0
"ESV_304","Gammaproteobacteria","Alteromonadaceae","Glaciecola",0
"ESV_327","Verrucomicrobiae","Chthoniobacteraceae","LD29",0
"ESV_338","Bacteroidia","NS9_marine_group","NS9_marine_group_ge",0
"ESV_347","Bacteroidia","Flavobacteriaceae","Lutimonas",0
"ESV_354","Bacteroidia","Flavobacteriaceae","Polaribacter",0
"ESV_364","Gammaproteobacteria","Moraxellaceae","Psychrobacter",0
"ESV_424","Deltaproteobacteria","SAR324_clade(Marine_group_B)_fa","SAR324_clade(Marine_group_B)_ge",0
"ESV_479","Gammaproteobacteria","Colwelliaceae","Colwellia",0
"ESV_485","Thermoplasmata","Marine_Group_II_fa","Marine_Group_II_ge",0
"ESV_501","Bacteroidia","Flavobacteriaceae","Flavobacterium",0
"ESV_579","Actinobacteria","PeM15_fa","PeM15_ge",0
"ESV_610","Deltaproteobacteria","SAR324_clade(Marine_group_B)_fa","SAR324_clade(Marine_group_B)_ge",0
"ESV_615","Bacteroidia","Cryomorphaceae","uncultured",0
"ESV_623","Phycisphaerae","Phycisphaeraceae","Urania-1B-19_marine_sediment_group",0
"ESV_654","Gammaproteobacteria","Moritellaceae","Moritella",0
"ESV_661","Deltaproteobacteria","NB1-j_fa","NB1-j_ge",0
"ESV_758","Verrucomicrobiae","Rubritaleaceae","Rubritalea",0
"ESV_800","Verrucomicrobiae","Rubritaleaceae","Roseibacillus",0
"ESV_802","Phycisphaerae","Phycisphaeraceae","Urania-1B-19_marine_sediment_group",0
"ESV_830","Bacteroidia","NS11-12_marine_group","NS11-12_marine_group_ge",0
"ESV_857","Gammaproteobacteria","KI89A_clade_fa","KI89A_clade_ge",0
"ESV_889","Mollicutes","Mycoplasmataceae","uncultured",0
"ESV_932","Gammaproteobacteria","OM182_clade_fa","OM182_clade_ge",0
"ESV_984","Bacteroidia","Flavobacteriaceae","Algibacter",0
"ESV_1027","Bacteroidia","Cyclobacteriaceae","Fabibacter",0
"ESV_1036","Bacteroidia","Flavobacteriaceae","Polaribacter_3",0
"ESV_1088","Gammaproteobacteria","Unknown_Family","Candidatus_Carsonella",0
"ESV_1126","OM190","OM190_fa","OM190_ge",0
"ESV_1187","Verrucomicrobiae","DEV007","DEV007_ge",0
"ESV_1275","Bacteroidia","Cryomorphaceae","uncultured",0
"ESV_1379","Bacteroidia","Cryomorphaceae","uncultured",0
"ESV_1696","Planctomycetacia","Pirellulaceae","Blastopirellula",0
"ESV_1714","Bacteroidia","Saprospiraceae","Lewinella",0
"ESV_1941","Bacteroidia","Flavobacteriaceae","Psychroserpens",0
"ESV_2023","Alphaproteobacteria","Rhodobacteraceae","uncultured",0
"ESV_2131","Bacteroidia","Flavobacteriaceae","Dokdonia",0
"ESV_2188","Alphaproteobacteria","Kiloniellaceae","Tistlia",0
"ESV_2431","Planctomycetacia","Pirellulaceae","Blastopirellula",0
"ESV_2448","Gammaproteobacteria","Thiotrichaceae","uncultured",0
"ESV_2633","Verrucomicrobiae","Puniceicoccaceae","MB11C04_marine_group",0
"ESV_2648","Alphaproteobacteria","Magnetospiraceae","Magnetospira",0
"ESV_2669","Bacteroidia","Flavobacteriaceae","NS4_marine_group",0
"ESV_2698","Bacteroidia","Saprospiraceae","Rubidimonas",0
"ESV_2764","Gammaproteobacteria","Diplorickettsiaceae","uncultured",0
